,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,1260,1063,21.93278169373787,0.7201961385228317,21.93278169373787,49.43552126437572,1.8745530697721933,8.546809501630182,1,tcrvalid,2.87,2,5,gliph,
0,390,291,13.0452548779242,0.7201961385228317,13.0452548779242,38.56091485413694,1.1083869649606701,8.496476115896632,1,tcrvalid,2.87,3,5,gliph,1.0
2,1289,1077,22.36411932979158,0.628320392317123,22.36015325670498,49.29380670732085,1.7624521072796935,7.882111034955449,2,tcrvalid,2.87,2,5,gliph,
0,408,301,13.363302002451983,0.628320392317123,13.358876117496807,38.5777373670014,0.9961685823754789,7.45697896749522,2,tcrvalid,2.87,3,5,gliph,2.0
3,1304,1106,22.3005414240474,1.026662580447441,22.296572508555958,49.44199896128681,1.8031363334525208,8.087056128293241,3,tcrvalid,2.87,2,5,gliph,
0,399,304,13.055470425988354,1.026662580447441,13.0510292690402,38.15129485092228,0.9858507432190836,7.553816046966732,3,tcrvalid,2.87,3,5,gliph,3.0
4,1325,1123,22.334014300306436,1.0265577119509703,22.326080294207785,50.02266368413155,1.8183675554193484,8.144589338824067,4,tcrvalid,2.87,2,5,gliph,
0,380,283,12.681307456588355,1.0265577119509703,12.672387373582593,39.684287845985,1.0113392583512106,7.980652962515115,4,tcrvalid,2.87,3,5,gliph,4.0
5,1266,1058,21.307456588355464,0.45965270684371806,21.303437356351193,49.927879301828376,1.7671995505388427,8.295372812275234,5,tcrvalid,2.87,2,5,gliph,
0,378,282,12.236976506639428,0.45965270684371806,12.237601511823893,38.77961692093843,0.9244598804841923,7.554257095158597,5,tcrvalid,2.87,3,5,gliph,5.0
6,1291,1089,22.171714592165074,0.9755350120026559,22.163763600143024,49.77295569048436,1.9155131021096183,8.642544365061074,6,tcrvalid,2.87,2,5,gliph,
0,389,298,12.957760866234231,0.9755350120026559,12.94886857026102,38.963716700296416,1.0982275118761813,8.481262327416173,6,tcrvalid,2.87,3,5,gliph,6.0
7,1325,1121,23.04902962206333,0.43922369765066394,23.04116865869854,48.855673045250875,1.8643375217080396,8.091332298825094,7,tcrvalid,2.87,2,5,gliph,
0,426,321,13.866189989785495,0.43922369765066394,13.862498723056492,37.52057930741176,1.0930636428644396,7.885040530582167,7,tcrvalid,2.87,3,5,gliph,7.0
8,1329,1135,22.589376915219614,0.7558733401430031,22.585423157464632,49.19928900214877,1.8744573267276163,8.299412030755315,8,tcrvalid,2.87,2,5,gliph,
0,404,311,13.140960163432073,0.7558733401430031,13.136523826548853,37.83627496003889,1.087900301343276,8.28149300155521,8,tcrvalid,2.87,3,5,gliph,8.0
9,1333,1136,23.09853399397252,0.9500944986463707,23.08674772657607,49.21127655852475,1.7727597833861244,7.678689975658331,9,tcrvalid,2.87,2,5,gliph,
0,404,310,13.607805077386729,0.9500944986463707,13.604781853479105,37.99166250622152,1.0064371104526413,7.397671798723245,9,tcrvalid,2.87,3,5,gliph,9.0
10,1232,1030,21.573435504469987,0.5874840357598978,21.56542175445767,49.672935163076474,1.9669953507382618,9.12106135986733,10,tcrvalid,2.87,2,5,gliph,
0,402,308,13.093231162196679,0.5874840357598978,13.089459970367344,38.67426895748809,1.1239973432790067,8.58704137392662,10,tcrvalid,2.87,3,5,gliph,10.0
