,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,387,246,5.6025499570920685,0.06742675003064852,5.590975968612065,66.32234116730241,2.09048553212359,37.39035087719298,1,tcrvalid,1.45,2,4,gliph,
0,67,27,1.6795390462179722,0.06742675003064852,1.6797449730259932,76.36934375740346,0.9870034330554194,58.75912408759124,1,tcrvalid,1.45,3,4,gliph,1.0
2,383,241,5.579057078045491,0.06743915149285758,5.555896240878151,66.58367524555514,2.1524498681547803,38.741721854304636,2,tcrvalid,1.45,2,4,gliph,
0,71,30,1.7534179388142972,0.06743915149285758,1.7538480407187098,74.66968477531857,1.0486294229472006,59.79020979020979,2,tcrvalid,1.45,3,4,gliph,2.0
3,402,260,5.866127252666422,0.06742675003064852,5.848813684016921,65.59464581852642,2.1151370240941696,36.16352201257862,3,tcrvalid,1.45,2,4,gliph,
0,74,30,1.8450410690204733,0.06742675003064852,1.8453804181227393,73.9060489060489,1.0299797682545522,55.81395348837209,3,tcrvalid,1.45,3,4,gliph,3.0
4,385,245,5.725144048056884,0.06742675003064852,5.719364923680501,65.35250463821893,2.108747624593882,36.87031082529475,4,tcrvalid,1.45,2,4,gliph,
0,85,42,2.047321319112419,0.06742675003064852,2.0474468215533626,68.36134453781513,1.048243731992889,51.19760479041916,4,tcrvalid,1.45,3,4,gliph,4.0
5,383,246,5.601863201765139,0.06741848492277519,5.596077229543365,65.91321646151933,2.0349371743794054,36.36363636363637,5,tcrvalid,1.45,2,4,gliph,
0,71,28,1.777396420691346,0.06741848492277519,1.7775053631627338,75.27833668678737,0.9868219429972418,55.51724137931034,5,tcrvalid,1.45,3,4,gliph,5.0
6,422,283,6.074537207306608,0.06742675003064852,6.063021088769005,64.79237192507335,2.1395291809710644,35.28816986855409,6,tcrvalid,1.45,2,4,gliph,
0,69,30,1.746965796248621,0.06742675003064852,1.7471799901912701,74.5272601794341,1.0360470819028935,59.29824561403509,6,tcrvalid,1.45,3,4,gliph,6.0
7,406,267,5.871897027275513,0.06742261722341404,5.866127252666422,65.133122214403,2.120877773691308,36.1546499477534,7,tcrvalid,1.45,2,4,gliph,
0,71,29,1.7652467054857492,0.06742261722341404,1.7592252053451023,75.26827632461435,1.0543091822974133,59.930313588850176,7,tcrvalid,1.45,3,4,gliph,7.0
8,406,266,5.853509040760037,0.06742261722341404,5.84196652976154,65.52457189772461,2.0658370624655182,35.362014690451204,8,tcrvalid,1.45,2,4,gliph,
0,66,25,1.685565430585351,0.06742261722341404,1.6857720836142953,78.07539682539682,0.9869429289523692,58.54545454545455,8,tcrvalid,1.45,3,4,gliph,8.0
9,416,277,6.09980382540461,0.0674350171652771,6.09980382540461,64.00412087912088,2.0966159882295243,34.37185929648241,9,tcrvalid,1.45,2,4,gliph,
0,87,46,2.065963707699853,0.0674350171652771,2.065963707699853,66.38752052545155,1.0176557135850908,49.25816023738872,9,tcrvalid,1.45,3,4,gliph,9.0
10,384,245,5.658757893446141,0.06743915149285758,5.658757893446141,65.4141865079365,2.0722212004168967,36.61971830985915,10,tcrvalid,1.45,2,4,gliph,
0,81,38,1.9434737293850775,0.06743915149285758,1.9434737293850775,69.98824221046442,1.0177181043467598,52.36593059936909,10,tcrvalid,1.45,3,4,gliph,10.0
