,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,784,571,19.203065134099617,0.367816091954023,19.18448685521576,54.824730217648025,2.8742239595309265,14.982021574111068,1,tcrvalid,2.87,2,3,gliph,
0,248,150,10.988505747126437,0.367816091954023,10.968038629570016,48.115276171919554,1.57124243121024,14.3256464011181,1,tcrvalid,2.87,3,3,gliph,1.0
2,805,593,19.50808367174929,0.30648992414374376,19.50808367174929,54.08387832055697,3.0878859857482186,15.828750981932442,2,tcrvalid,2.87,2,3,gliph,
0,266,168,11.248180216075397,0.30648992414374376,11.248180216075397,46.38166183476828,1.7853038081373074,15.871934604904633,2,tcrvalid,2.87,3,3,gliph,2.0
3,780,566,19.122040910135603,0.30644296330345516,19.122040910135603,54.74451354779149,3.0261242626216194,15.825320512820513,3,tcrvalid,2.87,2,3,gliph,
0,245,149,10.924691641768176,0.30644296330345516,10.924691641768176,47.75804313174433,1.7237416685819351,15.778401122019636,3,tcrvalid,2.87,3,3,gliph,3.0
4,759,553,19.05455102666258,0.43671467974256817,19.048348785533676,54.37064590869524,3.0648992414374376,16.090104585679807,4,tcrvalid,2.87,2,3,gliph,
0,250,154,11.254980079681275,0.43671467974256817,11.248180216075397,47.26928097879873,1.8389395448624626,16.348773841961854,4,tcrvalid,2.87,3,3,gliph,4.0
5,780,574,19.26760131770474,0.47498659312035546,19.261415874961692,54.25463343867371,2.980386147716825,15.479506565857541,5,tcrvalid,2.87,2,3,gliph,
0,245,151,11.070252049337316,0.47498659312035546,11.063438553478393,46.810669723124455,1.723873735825927,15.592515592515593,5,tcrvalid,2.87,3,3,gliph,5.0
6,808,602,19.23076923076923,0.37542139135764635,19.23076923076923,54.32116101651044,2.911431198283788,15.139442231075698,6,tcrvalid,2.87,2,3,gliph,
0,263,174,10.879558688323629,0.37542139135764635,10.879558688323629,46.92584829407009,1.593625498007968,14.647887323943662,6,tcrvalid,2.87,3,3,gliph,6.0
7,808,594,18.967366324498236,0.33706143710740005,18.967366324498236,55.313707840815006,3.0029109851386546,15.831987075928918,7,tcrvalid,2.87,2,3,gliph,
0,228,135,10.081201164394056,0.33706143710740005,10.081201164394056,49.532789190256686,1.6546652367090546,16.41337386018237,7,tcrvalid,2.87,3,3,gliph,7.0
8,792,582,18.991416309012877,0.37553648068669526,18.985207327354946,55.02881535765943,3.1961370429983904,16.834880904319743,8,tcrvalid,2.87,2,3,gliph,
0,232,141,10.407725321888412,0.37553648068669526,10.400858434889246,48.632852427871875,1.8778263202268721,18.054532056005897,8,tcrvalid,2.87,3,3,gliph,8.0
9,774,565,19.514250689549495,0.6972111553784861,19.50808367174929,54.31689572658931,2.796720557811662,14.336213668499607,9,tcrvalid,2.87,2,3,gliph,
0,263,169,11.684033098375728,0.6972111553784861,11.684928357980231,47.115122784715304,1.547774116925906,13.245901639344263,9,tcrvalid,2.87,3,3,gliph,9.0
10,777,576,19.238430891817345,0.4213913576463377,19.238430891817345,54.365665767609585,3.0570027581979775,15.890083632019117,10,tcrvalid,2.87,2,3,gliph,
0,248,159,11.132393502911432,0.4213913576463377,11.132393502911432,46.742428634809066,1.7698437021146185,15.898141775636613,10,tcrvalid,2.87,3,3,gliph,10.0
