,timestamp,step,loss,val_loss,reconstruction_loss,val_reconstruction_loss,kl_loss,val_kl_loss,insert_loss,val_insert_loss
0,2022-10-15 06:13:12.850,0,15.428956031799316,9.894994735717773,14.49828815460205,8.947162628173828,32.329498291015625,31.052167892456055,9.151191711425781,6.707897186279297
1,2022-10-15 06:14:39.018,1,8.144611358642578,6.940219879150391,7.520421028137207,6.442451477050781,32.25802993774414,32.49776840209961,5.425660610198975,4.788338661193848
2,2022-10-15 06:16:05.171,2,6.6628499031066895,6.6246771812438965,6.151520729064941,5.229295253753662,32.237640380859375,33.395381927490234,4.307697296142578,3.787367820739746
3,2022-10-15 06:17:31.325,3,5.656550884246826,5.423983097076416,5.221307754516602,4.6076531410217285,32.19795608520508,32.81632995605469,3.52909255027771,3.2216780185699463
4,2022-10-15 06:18:56.232,4,4.924203872680664,4.675155162811279,4.546883583068848,4.280517101287842,32.170127868652344,31.605361938476562,2.984208106994629,2.9229609966278076
5,2022-10-15 06:20:19.226,5,4.39903450012207,4.207294464111328,4.065207004547119,3.748237371444702,32.14094543457031,32.45905685424805,2.600571632385254,2.5074949264526367
6,2022-10-15 06:21:42.398,6,3.996058702468872,3.6983935832977295,3.704230785369873,3.395960569381714,32.11402893066406,32.302433013916016,2.3225059509277344,2.2003719806671143
7,2022-10-15 06:23:06.339,7,3.7036185264587402,3.2785866260528564,3.431602954864502,3.106066942214966,32.11040115356445,32.17251968383789,2.122593641281128,2.0212793350219727
8,2022-10-15 06:24:31.712,8,3.483168840408325,3.3838448524475098,3.2217164039611816,3.0716824531555176,32.10782241821289,31.687837600708008,1.9678784608840942,1.9488049745559692
9,2022-10-15 06:25:58.000,9,3.3043816089630127,3.07893443107605,3.0545942783355713,2.964977979660034,32.09992218017578,31.886043548583984,1.843409776687622,1.8551936149597168
10,2022-10-15 06:27:23.839,10,3.1548337936401367,2.728849172592163,2.9140937328338623,2.68546462059021,32.09312438964844,32.04338455200195,1.7385029792785645,1.6827003955841064
11,2022-10-15 06:28:49.954,11,3.0366811752319336,3.2687900066375732,2.803459882736206,2.4767062664031982,32.091609954833984,32.792083740234375,1.659171223640442,1.5600048303604126
12,2022-10-15 06:30:16.057,12,2.9381895065307617,2.979278087615967,2.7064712047576904,2.6399683952331543,32.095542907714844,31.660690307617188,1.5860264301300049,1.615707278251648
13,2022-10-15 06:31:42.165,13,2.846618175506592,2.65057373046875,2.622514009475708,2.427459716796875,32.08918762207031,32.223114013671875,1.5176140069961548,1.4345234632492065
14,2022-10-15 06:33:06.423,14,2.7547130584716797,3.081073045730591,2.5400803089141846,2.5711872577667236,32.087154388427734,31.490114212036133,1.4540793895721436,1.5373878479003906
15,2022-10-15 06:34:29.386,15,2.69320011138916,2.489500045776367,2.472459316253662,2.316080093383789,32.08320617675781,32.17341995239258,1.4021426439285278,1.4095211029052734
16,2022-10-15 06:35:52.628,16,2.602525472640991,2.33838152885437,2.410257577896118,2.27136492729187,32.0710563659668,32.0670166015625,1.3562419414520264,1.3157317638397217
17,2022-10-15 06:37:16.759,17,2.544297933578491,2.709954023361206,2.3549227714538574,2.315666913986206,32.073822021484375,31.605712890625,1.3159369230270386,1.3412419557571411
18,2022-10-15 06:38:42.288,18,2.48152756690979,2.3951878547668457,2.300265073776245,2.204918384552002,32.06874084472656,32.190269470214844,1.2784100770950317,1.2223633527755737
19,2022-10-15 06:40:08.274,19,2.4524786472320557,2.31913685798645,2.2551004886627197,2.010096788406372,32.0718994140625,32.30904006958008,1.247815728187561,1.1927211284637451
20,2022-10-15 06:41:33.982,20,2.3937690258026123,2.48740816116333,2.209129571914673,2.0551419258117676,32.075592041015625,32.43226623535156,1.2176722288131714,1.212264060974121
21,2022-10-15 06:42:59.878,21,2.3476598262786865,2.169785976409912,2.1719448566436768,2.090606212615967,32.063446044921875,31.920820236206055,1.1934694051742554,1.1729425191879272
22,2022-10-15 06:44:25.650,22,2.316781520843506,2.125699043273926,2.1335270404815674,2.0034685134887695,32.0711669921875,32.122230529785156,1.1685396432876587,1.2130216360092163
23,2022-10-15 06:45:51.395,23,2.2797963619232178,2.213181972503662,2.1024043560028076,1.9256949424743652,32.061614990234375,32.2874870300293,1.1481451988220215,1.1122422218322754
24,2022-10-15 06:47:17.368,24,2.2470357418060303,2.086801767349243,2.0714352130889893,1.9564039707183838,32.06191635131836,32.13039779663086,1.1286157369613647,1.159881591796875
25,2022-10-15 06:48:41.872,25,2.219752550125122,2.0328176021575928,2.044110059738159,1.8665006160736084,32.060977935791016,32.166316986083984,1.1112051010131836,1.0795851945877075
26,2022-10-15 06:50:04.820,26,2.191112518310547,2.2445411682128906,2.017239570617676,1.9494304656982422,32.06233596801758,31.70488929748535,1.0931090116500854,1.1193344593048096
27,2022-10-15 06:51:27.967,27,2.16685152053833,1.9193958044052124,1.9898004531860352,1.8370898962020874,32.06240463256836,31.917694091796875,1.075735092163086,1.0183329582214355
28,2022-10-15 06:52:51.971,28,2.137014150619507,2.22221302986145,1.9669007062911987,1.7701027393341064,32.063533782958984,32.452110290527344,1.0606062412261963,1.0242118835449219
29,2022-10-15 06:54:17.434,29,2.113987684249878,1.852992057800293,1.944489598274231,1.7661333084106445,32.05968475341797,31.91314125061035,1.046488881111145,1.0362366437911987
30,2022-10-15 06:55:43.066,30,2.087416887283325,2.7134647369384766,1.9243358373641968,2.032735824584961,32.0575065612793,31.319271087646484,1.0342576503753662,1.0956772565841675
