,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,369,333,77.8104695353684,69.67022189530465,77.80774889651791,49.44440893282185,0.37395782246199116,0.48248042395001184,1,tcrdist,50.00,2,4,gliph,
0,91,81,74.40235380654653,69.67022189530465,74.39921530161844,34.56029556276113,0.07969592937714566,0.10755356995118723,1,tcrdist,50.00,3,4,gliph,1.0
2,378,339,78.3642940347005,70.54135246152903,78.35898693812473,49.61410775453466,0.40473416324277917,0.5178907721280602,2,tcrdist,50.00,2,4,gliph,
0,89,82,74.82067316534854,70.54135246152903,74.81449684184706,32.630704845102244,0.06132335806708775,0.0821962847279303,2,tcrdist,50.00,3,4,gliph,2.0
3,377,338,78.30084589922765,69.97670712271669,78.29685488320766,49.614637764524915,0.41689657286493775,0.5339615233608166,3,tcrdist,50.00,2,4,gliph,
0,96,85,74.85595194311634,69.97670712271669,74.85745815707192,34.944983721103036,0.10422414321623444,0.13964185970100212,3,tcrdist,50.00,3,4,gliph,3.0
4,337,297,78.58281230844673,70.98197866862817,78.58149941764238,49.15644928826414,0.380064978851223,0.48517098364504263,4,tcrdist,50.00,2,4,gliph,
0,84,72,75.4811818070369,70.98197866862817,75.47967878379207,34.11575488267878,0.12260160608103966,0.16295934164425976,4,tcrdist,50.00,3,4,gliph,4.0
5,358,324,78.02157391517528,70.42167197842609,78.02022678516703,49.02929281576992,0.4045357033404842,0.5205457843678524,5,tcrdist,50.00,2,4,gliph,
0,99,89,74.84677617063005,70.42167197842609,74.85136377566657,33.86350331359224,0.10419859025436715,0.1397796415063312,5,tcrdist,50.00,3,4,gliph,5.0
6,354,315,77.93919333088145,71.06779453230354,77.93648847474252,49.690091731312926,0.4107405590975969,0.5286830269075988,6,tcrdist,50.00,2,4,gliph,
0,83,72,74.61689346573495,71.06779453230354,74.61378126532614,33.61798160102139,0.10421775380088279,0.14013683950210204,6,tcrdist,50.00,3,4,gliph,6.0
7,387,342,77.45019920318725,70.13790989886607,77.4488169670222,49.02643469764719,0.4168199092803727,0.5397253750297643,7,tcrdist,50.00,2,4,gliph,
0,105,91,73.99325773827766,70.13790989886607,73.9916636018144,34.983145028471064,0.1225940909648155,0.1661819692563357,7,tcrdist,50.00,3,4,gliph,7.0
8,342,303,78.06313208703646,70.2850137909899,78.06044259179795,50.31969416284525,0.42297554097958684,0.543178776666929,8,tcrdist,50.00,2,4,gliph,
0,88,78,74.94943303708244,70.2850137909899,74.9524918776436,34.196993223784965,0.06130080304051983,0.0819940964250574,8,tcrdist,50.00,3,4,gliph,8.0
9,356,314,78.37175085826385,70.67802844531633,78.37175085826385,49.76863722896274,0.4413928396272683,0.5646173149309912,9,tcrdist,50.00,2,4,gliph,
0,94,84,75.15939185875429,70.67802844531633,75.15939185875429,35.293987803305704,0.12260912211868563,0.16355904481517827,9,tcrdist,50.00,3,4,gliph,9.0
10,361,319,78.59726564894856,70.45552081417448,78.59726564894856,49.70750609639404,0.4352890687266262,0.5556425105650337,10,tcrdist,50.00,2,4,gliph,
0,88,79,75.24983140212127,70.45552081417448,75.24983140212127,32.322837509071036,0.07970081540064987,0.10627861347285808,10,tcrdist,50.00,3,4,gliph,10.0
