,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,374,158,19.662835249042146,0.8735632183908046,19.650521152667075,71.39222112791983,7.449417535254445,37.909516380655226,1,tcrdist,24.00,2,1,gliph,
0,117,43,11.78544061302682,0.8735632183908046,11.771919068056407,70.09137352001726,3.9852851011649295,33.854166666666664,1,tcrdist,24.00,3,1,gliph,1.0
2,364,147,19.384002451731536,0.9500459699662887,19.384002451731536,71.65570996226258,7.968127490039841,41.10671936758893,2,tcrdist,24.00,2,1,gliph,
0,120,46,11.90622126877107,0.9500459699662887,11.90622126877107,68.60565355219647,4.505056696291756,37.83783783783784,2,tcrdist,24.00,3,1,gliph,2.0
3,361,148,19.353355807539074,0.8581060373889059,19.340996168582375,71.47432410982127,7.187739463601533,37.16323296354992,3,tcrdist,24.00,2,1,gliph,
0,119,41,11.93686791296353,0.8581060373889059,11.923371647509578,70.60698322391158,3.9386973180076628,33.03341902313625,3,tcrdist,24.00,3,1,gliph,3.0
4,349,135,18.544061302681992,0.842911877394636,18.544061302681992,73.34362486435151,7.816091954022989,42.14876033057851,4,tcrdist,24.00,2,1,gliph,
0,107,34,11.126436781609195,0.842911877394636,11.126436781609195,73.80303810895961,4.383141762452107,39.39393939393939,4,tcrdist,24.00,3,1,gliph,4.0
5,365,153,19.46360153256705,0.8582375478927203,19.46360153256705,71.17941761434912,7.8773946360153255,40.47244094488189,5,tcrdist,24.00,2,1,gliph,
0,124,46,12.076628352490422,0.8582375478927203,12.076628352490422,68.79425346159218,4.567049808429119,37.81725888324873,5,tcrdist,24.00,3,1,gliph,5.0
6,380,169,20.248313917841816,0.8277130594727161,20.236087689713322,69.97210151396472,7.3432469722520315,36.28787878787879,6,tcrdist,24.00,2,1,gliph,
0,130,56,12.584304107909258,0.8277130594727161,12.570902958761307,66.07229673312764,3.970565690633144,31.585365853658537,6,tcrdist,24.00,3,1,gliph,6.0
7,366,153,19.48191293684856,0.8583690987124464,19.46956921661812,71.33699055395236,7.128621799785375,36.61417322834646,7,tcrdist,24.00,2,1,gliph,
0,121,43,11.971183323114653,0.8583690987124464,11.957688180285144,69.91188878302944,3.817261996014104,31.923076923076923,7,tcrdist,24.00,3,1,gliph,7.0
8,387,179,20.554874310239118,0.8277130594727161,20.554874310239118,69.55933777389339,7.694665849172287,37.43475018642804,8,tcrdist,24.00,2,1,gliph,
0,131,59,12.706928264868179,0.8277130594727161,12.706928264868179,65.034074186998,4.261189454322501,33.53437876960193,8,tcrdist,24.00,3,1,gliph,8.0
9,387,180,20.35249042145594,0.8275862068965517,20.35249042145594,69.46058012184115,7.187739463601533,35.316265060240966,9,tcrdist,24.00,2,1,gliph,
0,125,49,12.32183908045977,0.8275862068965517,12.32183908045977,67.84995605722021,3.9386973180076628,31.965174129353233,9,tcrdist,24.00,3,1,gliph,9.0
10,365,147,19.368679129635304,0.8581060373889059,19.368679129635304,71.96630517159218,7.247931351517009,37.42088607594937,10,tcrdist,24.00,2,1,gliph,
0,114,37,11.676371437327612,0.8581060373889059,11.676371437327612,72.08509989150129,3.876800490346307,33.202099737532805,10,tcrdist,24.00,3,1,gliph,10.0
