,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,639,418,21.524159771171725,0.6435795280416794,21.51614221495709,58.815376464095856,4.546383326522272,21.130104463437796,1,tcrdist,28.00,2,2,gliph,
0,217,127,12.902237205026049,0.6435795280416794,12.893338782182264,51.07385050948042,2.3395995096035964,18.14580031695721,1,tcrdist,28.00,3,2,gliph,1.0
2,613,396,21.61389172625128,0.59244126659857,21.60588415568495,59.40070658488295,4.658289917254061,21.56028368794326,2,tcrdist,28.00,2,2,gliph,
0,195,108,13.074565883554648,0.59244126659857,13.065685974052508,52.11606736683718,2.4721626315251815,18.92103205629398,2,tcrdist,28.00,3,2,gliph,2.0
3,625,402,21.166615588926344,0.5925017877209112,21.166615588926344,60.35306220304668,4.903463070793748,23.166023166023166,3,tcrdist,28.00,2,2,gliph,
0,181,93,12.095208907957913,0.5925017877209112,12.095208907957913,55.36278385029931,2.6560424966799467,21.95945945945946,3,tcrdist,28.00,3,2,gliph,3.0
4,620,402,21.087045361667347,0.5823457294646506,21.087045361667347,59.81608514715985,4.525950143032285,21.463178294573645,4,tcrdist,28.00,2,2,gliph,
0,189,103,12.280343277482633,0.5823457294646506,12.280343277482633,53.894035932482076,2.3395995096035964,19.051580698835274,4,tcrdist,28.00,3,2,gliph,4.0
5,627,408,21.88617553898028,0.6028405027076734,21.88617553898028,59.25021205245447,4.5775007663226726,20.915032679738562,5,tcrdist,28.00,2,2,gliph,
0,194,110,13.037703075508327,0.6028405027076734,13.037703075508327,52.3189843138606,2.3909267395524676,18.338557993730408,5,tcrdist,28.00,3,2,gliph,5.0
6,640,428,21.975888843481815,0.623212096444626,21.975888843481815,58.171236075995594,4.444217409072333,20.2231520223152,6,tcrdist,28.00,2,2,gliph,
0,207,120,13.128320392317123,0.623212096444626,13.128320392317123,50.38449801274001,2.3395995096035964,17.82101167315175,6,tcrdist,28.00,3,2,gliph,6.0
7,597,381,20.752017983038726,0.5926228670685604,20.752017983038726,59.99992195436135,4.138142433840809,19.940915805022158,7,tcrdist,28.00,2,2,gliph,
0,196,113,12.557474200470011,0.5926228670685604,12.557474200470011,52.65282350384553,1.9106978645141515,15.215622457282343,7,tcrdist,28.00,3,2,gliph,7.0
8,617,402,21.14244839566728,0.6029021050480278,21.118266380455893,59.631244409266856,4.6918123275068995,22.216844143272024,8,tcrdist,28.00,2,2,gliph,
0,198,115,12.57919476803597,0.6029021050480278,12.552386793417153,52.739786871301234,2.483900643974241,19.78827361563518,8,tcrdist,28.00,3,2,gliph,8.0
9,613,396,20.872496935022475,0.6129955046996322,20.86441197506897,59.474457155192916,4.832941657300501,23.16356513222331,9,tcrdist,28.00,2,2,gliph,
0,213,127,12.69922353902738,0.6129955046996322,12.690303463778482,51.91475228231575,2.625932359252069,20.69243156199678,9,tcrdist,28.00,3,2,gliph,9.0
10,615,397,21.596484055600982,0.5825838103025347,21.596484055600982,59.360897521321895,4.129190515126737,19.119734973970658,10,tcrdist,28.00,2,2,gliph,
0,201,109,13.13368765331153,0.5825838103025347,13.13368765331153,53.01966157021376,2.0237121831561735,15.408560311284047,10,tcrdist,28.00,3,2,gliph,10.0
