,spike_x,minsize,eps,label_reference,method,epsilon_scaled,mean_CSI,mean_precision,std_precision,std_CSI
0,0,2,0.6,gliph,tcrvalid,0.0,4.353157572041693,93.42105263157896,,
1,0,2,0.6,tcrvalid,tcrvalid,0.0,7.304116865869854,96.0698689956332,,
2,0,2,0.88,gliph,tcrvalid,0.05185185185185185,6.315144083384427,90.35087719298244,,
3,0,2,0.88,tcrvalid,tcrvalid,0.05185185185185185,11.05577689243028,97.65395894428153,,
4,0,2,1.17,gliph,tcrvalid,0.10555555555555554,8.553034947884733,84.54545454545455,,
5,0,2,1.17,tcrvalid,tcrvalid,0.10555555555555554,13.811420982735724,95.852534562212,,
6,0,2,1.45,gliph,tcrvalid,0.15740740740740738,10.8522378908645,83.49056603773585,,
7,0,2,1.45,tcrvalid,tcrvalid,0.15740740740740738,15.50464807436919,93.5871743486974,,
8,0,2,1.74,gliph,tcrvalid,0.2111111111111111,12.691600245248312,79.92277992277992,,
9,0,2,1.74,tcrvalid,tcrvalid,0.2111111111111111,17.96148738379814,93.598615916955,,
10,0,2,2.02,gliph,tcrvalid,0.26296296296296295,14.040465971796444,73.87096774193549,,
11,0,2,2.02,tcrvalid,tcrvalid,0.26296296296296295,19.9867197875166,89.18518518518519,,
12,0,2,2.31,gliph,tcrvalid,0.31666666666666665,14.469650521152667,64.21768707482993,,
13,0,2,2.31,tcrvalid,tcrvalid,0.31666666666666665,22.144754316069054,87.76315789473684,,
14,0,2,2.59,gliph,tcrvalid,0.36851851851851847,14.653586756591048,59.52677459526775,,
15,0,2,2.59,tcrvalid,tcrvalid,0.36851851851851847,23.771580345285525,83.35273573923166,,
16,0,2,2.87,gliph,tcrvalid,0.42037037037037034,14.684242795830778,53.0454042081949,,
17,0,2,2.87,tcrvalid,tcrvalid,0.42037037037037034,25.59760956175299,80.64853556485356,,
18,0,2,3.16,gliph,tcrvalid,0.47407407407407404,13.641937461679952,44.76861167002012,,
19,0,2,3.16,tcrvalid,tcrvalid,0.47407407407407404,27.622841965471448,77.61194029850746,,
20,0,2,3.44,gliph,tcrvalid,0.5259259259259259,13.51931330472103,38.61646234676007,,
21,0,2,3.44,tcrvalid,tcrvalid,0.5259259259259259,28.685258964143426,73.03465765004226,,
22,0,2,3.73,gliph,tcrvalid,0.5796296296296296,13.703249540159412,34.94917904612979,,
23,0,2,3.73,tcrvalid,tcrvalid,0.5796296296296296,28.91766268260292,67.51937984496124,,
24,0,2,4.01,gliph,tcrvalid,0.6314814814814814,13.028816676885349,29.6373779637378,,
25,0,2,4.01,tcrvalid,tcrvalid,0.6314814814814814,12.881806108897742,27.635327635327634,,
26,0,2,4.29,gliph,tcrvalid,0.6833333333333332,11.281422440220725,23.203026481715007,,
27,0,2,4.29,tcrvalid,tcrvalid,0.6833333333333332,9.395750332005312,18.400520156046813,,
28,0,2,4.58,gliph,tcrvalid,0.7370370370370369,8.675659104843653,16.125356125356124,,
29,0,2,4.58,tcrvalid,tcrvalid,0.7370370370370369,7.403718459495352,13.37732453509298,,
30,0,2,4.86,gliph,tcrvalid,0.788888888888889,6.468424279583078,10.870685213807317,,
31,0,2,4.86,tcrvalid,tcrvalid,0.788888888888889,6.075697211155378,9.967320261437909,,
32,0,2,5.15,gliph,tcrvalid,0.8425925925925927,5.027590435315757,7.77619724988146,,
33,0,2,5.15,tcrvalid,tcrvalid,0.8425925925925927,5.0132802124834,7.6301162203132895,,
34,0,2,5.43,gliph,tcrvalid,0.8944444444444444,4.322501532801962,6.225165562913907,,
35,0,2,5.43,tcrvalid,tcrvalid,0.8944444444444444,4.083665338645418,5.810108644307983,,
36,0,2,5.5,gliph,ismart,0.0,8.06253832004905,15.25522041763341,,
37,0,2,5.5,tcrvalid,ismart,0.0,8.233731739707835,16.348055372445618,,
38,0,2,5.72,gliph,tcrvalid,0.9481481481481481,3.740036787247088,5.05175983436853,,
39,0,2,5.72,tcrvalid,tcrvalid,0.9481481481481481,3.154050464807437,4.250559284116331,,
40,0,2,6.0,gliph,ismart,0.2,11.312078479460451,26.040931545518703,,
41,0,2,6.0,gliph,tcrvalid,1.0,2.483139178418148,3.17149569303054,,
42,0,2,6.0,tcrvalid,ismart,0.2,11.354581673306772,26.42967542503864,,
43,0,2,6.0,tcrvalid,tcrvalid,1.0,2.954847277556441,3.764805414551608,,
44,0,2,6.5,gliph,ismart,0.4,16.707541385652974,53.64173228346457,,
45,0,2,6.5,tcrvalid,ismart,0.4,25.99601593625498,73.72881355932203,,
46,0,2,7.0,gliph,ismart,0.6,17.50459840588596,80.4225352112676,,
47,0,2,7.0,tcrvalid,ismart,0.6,24.33598937583001,89.60880195599022,,
48,0,2,7.5,gliph,ismart,0.8,8.798283261802576,94.09836065573772,,
49,0,2,7.5,tcrvalid,ismart,0.8,13.44621513944223,95.29411764705884,,
50,0,2,8.0,gliph,ismart,1.0,2.912323727774372,100.0,,
51,0,2,8.0,tcrvalid,ismart,1.0,1.8592297476759627,100.0,,
52,0,2,10.0,gliph,tcrdist,0.0,6.284488044144696,96.24413145539906,,
53,0,2,10.0,tcrvalid,tcrdist,0.0,9.860557768924302,95.4983922829582,,
54,0,2,12.0,gliph,tcrdist,0.05,14.408338442673209,88.34586466165413,,
55,0,2,12.0,tcrvalid,tcrdist,0.05,18.55909694555113,94.42567567567568,,
56,0,2,14.0,gliph,tcrdist,0.1,14.408338442673209,88.34586466165413,,
57,0,2,14.0,tcrvalid,tcrdist,0.1,18.55909694555113,94.42567567567568,,
58,0,2,16.0,gliph,tcrdist,0.15,14.714898835070509,87.5912408759124,,
59,0,2,16.0,tcrvalid,tcrdist,0.15,19.422310756972117,94.05144694533762,,
60,0,2,18.0,gliph,tcrdist,0.2,15.665236051502148,87.6500857632933,,
61,0,2,18.0,tcrvalid,tcrdist,0.2,19.953519256308105,93.7597503900156,,
62,0,2,20.0,gliph,tcrdist,0.25,15.542611894543224,86.51877133105802,,
63,0,2,20.0,tcrvalid,tcrdist,0.25,20.0863213811421,93.6532507739938,,
64,0,2,22.0,gliph,tcrdist,0.3,16.922133660331085,82.38805970149254,,
65,0,2,22.0,tcrvalid,tcrdist,0.3,21.48074369189907,92.42857142857144,,
66,0,2,24.0,gliph,tcrdist,0.35,16.554261189454323,59.14567360350493,,
67,0,2,24.0,tcrvalid,tcrdist,0.35,23.937583001328026,75.8149316508938,,
68,0,2,26.0,gliph,tcrdist,0.4,16.615573267933783,59.23497267759563,,
69,0,2,26.0,tcrvalid,tcrdist,0.4,24.00398406374502,75.6276150627615,,
70,0,2,28.0,gliph,tcrdist,0.45,17.167381974248926,58.700209643605874,,
71,0,2,28.0,tcrvalid,tcrdist,0.45,25.796812749003983,75.51020408163265,,
72,0,2,30.0,gliph,tcrdist,0.5,16.462293071735132,52.23735408560312,,
73,0,2,30.0,tcrvalid,tcrdist,0.5,26.56042496679947,73.66482504604052,,
74,0,2,34.0,gliph,tcrdist,0.6,15.603923973022685,41.99669966996699,,
75,0,2,34.0,tcrvalid,tcrdist,0.6,26.99203187250996,65.3012048192771,,
76,0,2,38.0,gliph,tcrdist,0.7,13.825873697118332,28.27586206896552,,
77,0,2,38.0,tcrvalid,tcrdist,0.7,26.660026560424967,51.83989670755326,,
78,0,2,42.0,gliph,tcrdist,0.8,11.925199264255058,22.102272727272727,,
79,0,2,42.0,tcrvalid,tcrdist,0.8,26.361221779548472,46.81603773584906,,
80,0,2,46.0,gliph,tcrdist,0.9,7.449417535254445,12.247983870967742,,
81,0,2,46.0,tcrvalid,tcrdist,0.9,5.577689243027889,9.017713365539452,,
82,0,2,50.0,gliph,tcrdist,1.0,4.07725321888412,5.645161290322581,,
83,0,2,50.0,tcrvalid,tcrdist,1.0,4.150066401062417,5.846585594013097,,
84,0,3,0.6,gliph,tcrvalid,0.0,1.1649294911097483,100.0,,
85,0,3,0.6,tcrvalid,tcrvalid,0.0,3.9176626826029217,94.4,,
86,0,3,0.88,gliph,tcrvalid,0.05185185185185185,2.329858982219497,90.47619047619048,,
87,0,3,0.88,tcrvalid,tcrvalid,0.05185185185185185,6.739707835325365,97.12918660287082,,
88,0,3,1.17,gliph,tcrvalid,0.10555555555555554,3.648068669527897,82.63888888888889,,
89,0,3,1.17,tcrvalid,tcrvalid,0.10555555555555554,9.893758300132802,97.38562091503267,,
90,0,3,1.45,gliph,tcrvalid,0.15740740740740738,5.39546290619252,82.24299065420561,,
91,0,3,1.45,tcrvalid,tcrvalid,0.15740740740740738,11.387782204515272,95.54317548746518,,
92,0,3,1.74,gliph,tcrvalid,0.2111111111111111,6.683016554261189,77.30496453900709,,
93,0,3,1.74,tcrvalid,tcrvalid,0.2111111111111111,13.180610889774236,94.52380952380952,,
94,0,3,2.02,gliph,tcrvalid,0.26296296296296295,7.786633966891477,68.64864864864865,,
95,0,3,2.02,tcrvalid,tcrvalid,0.26296296296296295,14.807436918990703,91.5811088295688,,
96,0,3,2.31,gliph,tcrvalid,0.31666666666666665,8.338442673206622,60.85011185682327,,
97,0,3,2.31,tcrvalid,tcrvalid,0.31666666666666665,16.235059760956176,90.55555555555556,,
98,0,3,2.59,gliph,tcrvalid,0.36851851851851847,8.277130594727161,53.89221556886228,,
99,0,3,2.59,tcrvalid,tcrvalid,0.36851851851851847,17.529880478087648,87.27272727272727,,
100,0,3,2.87,gliph,tcrvalid,0.42037037037037034,8.614347026364193,45.39579967689822,,
101,0,3,2.87,tcrvalid,tcrvalid,0.42037037037037034,19.15670650730412,84.35672514619883,,
102,0,3,3.16,gliph,tcrvalid,0.47407407407407404,7.694665849172287,34.861111111111114,,
103,0,3,3.16,tcrvalid,tcrvalid,0.47407407407407404,20.584329349269588,80.10335917312662,,
104,0,3,3.44,gliph,tcrvalid,0.5259259259259259,7.755977927651747,30.335731414868107,,
105,0,3,3.44,tcrvalid,tcrvalid,0.5259259259259259,21.91235059760956,75.9493670886076,,
106,0,3,3.73,gliph,tcrvalid,0.5796296296296296,8.185162477007971,27.440904419321686,,
107,0,3,3.73,tcrvalid,tcrvalid,0.5796296296296296,23.14077025232404,70.6896551724138,,
108,0,3,4.01,gliph,tcrvalid,0.6314814814814814,7.388105456774984,21.82971014492753,,
109,0,3,4.01,tcrvalid,tcrvalid,0.6314814814814814,7.171314741035856,19.744058500914075,,
110,0,3,4.29,gliph,tcrvalid,0.6833333333333332,6.376456161863887,16.300940438871475,,
111,0,3,4.29,tcrvalid,tcrvalid,0.6833333333333332,4.216467463479416,10.275080906148869,,
112,0,3,4.58,gliph,tcrvalid,0.7370370370370369,4.07725321888412,9.166092350103376,,
113,0,3,4.58,tcrvalid,tcrvalid,0.7370370370370369,2.822045152722444,6.075768406004289,,
114,0,3,4.86,gliph,tcrvalid,0.788888888888889,3.096259963212753,5.909888823873611,,
115,0,3,4.86,tcrvalid,tcrvalid,0.788888888888889,1.8260292164674636,3.4722222222222223,,
116,0,3,5.15,gliph,tcrvalid,0.8425925925925927,2.0846106683016554,3.603603603603604,,
117,0,3,5.15,tcrvalid,tcrvalid,0.8425925925925927,1.5604249667994687,2.668938103350369,,
118,0,3,5.43,gliph,tcrvalid,0.8944444444444444,1.624770079705702,2.5419664268585134,,
119,0,3,5.43,tcrvalid,tcrvalid,0.8944444444444444,1.095617529880478,1.717855283706403,,
120,0,3,5.5,gliph,ismart,0.0,3.525444512568976,7.844474761255116,,
121,0,3,5.5,tcrvalid,ismart,0.0,2.6560424966799467,6.45682001614205,,
122,0,3,5.72,gliph,tcrvalid,0.9481481481481481,1.5328019619865114,2.2016732716864817,,
123,0,3,5.72,tcrvalid,tcrvalid,0.9481481481481481,1.2284196547144757,1.7644253695755845,,
124,0,3,6.0,gliph,ismart,0.2,5.4261189454322505,15.931593159315932,,
125,0,3,6.0,gliph,tcrvalid,1.0,0.950337216431637,1.2663398692810457,,
126,0,3,6.0,tcrvalid,ismart,0.2,4.714475431606906,14.2570281124498,,
127,0,3,6.0,tcrvalid,tcrvalid,1.0,0.896414342629482,1.2042818911685995,,
128,0,3,6.5,gliph,ismart,0.4,9.59534028203556,44.97126436781609,,
129,0,3,6.5,tcrvalid,ismart,0.4,18.824701195219124,73.06701030927834,,
130,0,3,7.0,gliph,ismart,0.6,10.515021459227468,79.76744186046511,,
131,0,3,7.0,tcrvalid,ismart,0.6,17.03187250996016,91.60714285714286,,
132,0,3,7.5,gliph,ismart,0.8,3.2801961986511343,94.69026548672566,,
133,0,3,7.5,tcrvalid,ismart,0.8,7.47011952191235,95.74468085106383,,
134,0,3,8.0,gliph,ismart,1.0,0.5824647455548743,100.0,,
135,0,3,8.0,tcrvalid,ismart,1.0,0.199203187250996,100.0,,
136,0,3,10.0,gliph,tcrdist,0.0,2.299202942979767,100.0,,
137,0,3,10.0,tcrvalid,tcrdist,0.0,6.673306772908367,95.260663507109,,
138,0,3,12.0,gliph,tcrdist,0.05,7.909258123850399,87.16216216216216,,
139,0,3,12.0,tcrvalid,tcrdist,0.05,14.04382470119522,96.13636363636364,,
140,0,3,14.0,gliph,tcrdist,0.1,7.909258123850399,87.16216216216216,,
141,0,3,14.0,tcrvalid,tcrdist,0.1,14.04382470119522,96.13636363636364,,
142,0,3,16.0,gliph,tcrdist,0.15,8.215818516247701,86.45161290322581,,
143,0,3,16.0,tcrvalid,tcrdist,0.15,14.774236387782205,95.49356223175964,,
144,0,3,18.0,gliph,tcrdist,0.2,8.859595340282036,87.31117824773413,,
145,0,3,18.0,tcrvalid,tcrdist,0.2,15.0398406374502,95.36842105263158,,
146,0,3,20.0,gliph,tcrdist,0.25,8.736971183323115,85.32934131736526,,
147,0,3,20.0,tcrvalid,tcrdist,0.25,15.0398406374502,95.16806722689076,,
148,0,3,22.0,gliph,tcrdist,0.3,10.116492949110976,80.48780487804878,,
149,0,3,22.0,tcrvalid,tcrdist,0.3,16.633466135458168,93.12267657992564,,
150,0,3,24.0,gliph,tcrdist,0.35,9.258123850398528,49.589490968801314,,
151,0,3,24.0,tcrvalid,tcrdist,0.35,18.691899070385126,76.39077340569878,,
152,0,3,26.0,gliph,tcrdist,0.4,9.258123850398528,49.589490968801314,,
153,0,3,26.0,tcrvalid,tcrdist,0.4,18.691899070385126,76.08108108108108,,
154,0,3,28.0,gliph,tcrdist,0.45,9.748620478234212,49.37888198757764,,
155,0,3,28.0,tcrvalid,tcrdist,0.45,19.754316069057104,75.60355781448538,,
156,0,3,30.0,gliph,tcrdist,0.5,8.982219497240957,41.38418079096045,,
