,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,minsize,method,Doublecount,reference,spike_x,label_reference
0,518.0,15.0,36.763529725406556,0.346574246867502,27.283874923359903,88.9616113053613,19.343960760269773,70.89887640449439,2,GLIPH,True,gliph_ref,0,gliph
0,160.0,13.0,17.675286590242603,0.346574246867502,12.507664009809933,87.27155273666902,8.185162477007971,65.44117647058823,3,GLIPH,True,gliph_ref,0,gliph
0,295.0,15.0,23.574494175352545,0.39852851011649293,23.574494175352545,84.43400102722137,15.634580012262417,66.31989596879063,2,GLIPH,False,gliph_ref,0,gliph
0,78.0,12.0,10.269773145309626,0.39852851011649293,10.269773145309626,83.43628593628594,6.376456161863887,62.08955223880597,3,GLIPH,False,gliph_ref,0,gliph
0,655.0,181.0,23.06481613964802,0.21462297896694807,17.581238503985286,80.81879477454699,9.932556713672593,56.49520488230166,2,GLIPH,True,df_spike1_ref_hash.csv,1,gliph
0,156.0,36.0,8.785233939047075,0.21462297896694807,6.468424279583078,82.33781918564527,3.9699570815450644,61.37440758293839,3,GLIPH,True,df_spike1_ref_hash.csv,1,gliph
0,412.0,145.0,15.24904214559387,0.19923371647509577,15.236051502145923,73.69567730004623,7.587369711833231,49.798792756539235,2,GLIPH,False,df_spike1_ref_hash.csv,1,gliph
0,84.0,25.0,5.180076628352491,0.19923371647509577,5.180870631514408,78.12641723356009,3.0502759043531578,58.875739644970416,3,GLIPH,False,df_spike1_ref_hash.csv,1,gliph
0,959.0,453.0,21.52444870565676,0.12464046021093,16.377196567225173,76.3333901579725,7.243563547200654,44.229569557080474,2,GLIPH,True,df_spike2_hash.csv,2,gliph
0,189.0,67.0,6.75934803451582,0.12464046021093,5.077646097261954,76.4342068188222,2.421332243563547,47.686116700201204,3,GLIPH,True,df_spike2_hash.csv,2,gliph
0,572.0,326.0,13.65818776177342,0.13280212483399734,13.659583163056805,65.32758907758908,4.525950143032285,33.1338818249813,2,GLIPH,False,df_spike2_hash.csv,2,gliph
0,103.0,41.0,4.076003677597303,0.13280212483399734,4.076420106252554,69.58622283865002,1.7674703718839395,43.35839598997494,3,GLIPH,False,df_spike2_hash.csv,2,gliph
0,1283.0,745.0,21.471861471861473,0.10101010101010101,16.578523798574384,72.3852510860385,6.039702613627654,36.43088303282478,2,GLIPH,True,df_spike3_hash.csv,3,gliph
0,235.0,117.0,6.349206349206349,0.10101010101010101,4.675404307503641,69.00624182019531,1.7705219590710508,37.868852459016395,3,GLIPH,True,df_spike3_hash.csv,3,gliph
0,795.0,557.0,13.923371647509578,0.10727969348659004,13.911243964129685,60.29728552370062,3.372422779182954,24.242424242424242,2,GLIPH,False,df_spike3_hash.csv,3,gliph
0,127.0,72.0,3.67816091954023,0.10727969348659004,3.67134207097417,58.55387394757474,1.1956771671648654,32.5678496868476,3,GLIPH,False,df_spike3_hash.csv,3,gliph
0,1801.0,1203.0,23.426995345630065,0.08044590013216112,18.305541932319766,69.92521462733565,5.609367336929868,30.643000669792364,2,GLIPH,True,df_spike4_hash.csv,4,gliph
0,318.0,183.0,6.383956789059358,0.08044590013216112,4.843060323688082,62.94778613199665,1.3793526238352134,28.481012658227847,3,GLIPH,True,df_spike4_hash.csv,4,gliph
0,1113.0,874.0,15.312001961505455,0.08581586367537085,15.301618440411966,56.68474307962178,2.60544384502207,17.02724358974359,2,GLIPH,False,df_spike4_hash.csv,4,gliph
0,175.0,115.0,3.806546524457521,0.08581586367537085,3.8008827856792546,52.800680272108835,0.9011770475723394,23.70967741935484,3,GLIPH,False,df_spike4_hash.csv,4,gliph
0,2344.0,1685.0,25.311596606795888,0.071086678356476,19.5014812544693,69.27859080444048,5.419348248033507,27.78941854374018,2,GLIPH,True,df_spike5_hash.csv,5,gliph
0,390.0,253.0,6.791147338988673,0.071086678356476,4.734906527735213,64.93760960474842,1.2360813157625907,26.10571736785329,3,GLIPH,True,df_spike5_hash.csv,5,gliph
0,1412.0,1190.0,16.043518234753293,0.07661661048115231,16.043518234753293,54.54884999325509,1.9613852283174993,12.225405921680993,2,GLIPH,False,df_spike5_hash.csv,5,gliph
0,183.0,129.0,3.4886096639084685,0.07661661048115231,3.4886096639084685,49.03265677855842,0.6129328838492185,17.569546120058565,3,GLIPH,False,df_spike5_hash.csv,5,gliph
0,191.0,12.0,50.931174089068826,2.5101214574898787,33.333333333333336,93.3562724014337,23.212321232123212,69.63696369636963,2,GLIPH,True,GLIPH_RefHQ.csv,0,gliphHQ
0,78.0,8.0,32.63157894736842,2.5101214574898787,18.81188118811881,89.98916395765609,10.45104510451045,55.55555555555556,3,GLIPH,True,GLIPH_RefHQ.csv,0,gliphHQ
0,84.0,12.0,28.822882288228822,3.41034103410341,28.822882288228822,90.11350059737158,18.701870187018702,64.8854961832061,2,GLIPH,False,GLIPH_RefHQ.csv,0,gliphHQ
0,28.0,8.0,16.501650165016503,3.41034103410341,16.501650165016503,89.98335893497185,8.800880088008801,53.333333333333336,3,GLIPH,False,GLIPH_RefHQ.csv,0,gliphHQ
0,248.0,110.0,14.236430542778288,0.3219871205151794,10.596979141692639,77.09320695102686,5.514265164229202,52.036199095022624,2,GLIPH,True,df_spike_HQ1_hash.csv,1,gliphHQ
0,50.0,17.0,5.128794848206072,0.3219871205151794,3.404459362263246,79.91452991452992,2.2057060656916807,64.78873239436619,3,GLIPH,True,df_spike_HQ1_hash.csv,1,gliphHQ
0,164.0,94.0,9.491850431447746,0.311601150527325,9.470151042915369,70.52845528455285,4.38743706545193,46.32911392405063,2,GLIPH,False,df_spike_HQ1_hash.csv,1,gliphHQ
0,32.0,15.0,3.139980824544583,0.311601150527325,3.140733637017502,77.08333333333334,1.989930472308799,63.3587786259542,3,GLIPH,False,df_spike_HQ1_hash.csv,1,gliphHQ
0,474.0,334.0,13.829509906152241,0.16944734098018768,11.094674556213018,70.22581472927894,3.7251210328133406,33.57575757575758,2,GLIPH,True,df_spike_HQ2_hash.csv,2,gliphHQ
0,62.0,36.0,3.089155370177268,0.16944734098018768,2.474448628294782,65.5959595959596,1.0220548682087143,41.30434782608695,3,GLIPH,True,df_spike_HQ2_hash.csv,2,gliphHQ
0,312.0,254.0,9.467455621301776,0.17482517482517482,9.467455621301776,58.67877492877493,2.097902097902098,22.15909090909091,2,GLIPH,False,df_spike_HQ2_hash.csv,2,gliphHQ
0,42.0,27.0,2.205486820871436,0.17482517482517482,2.205486820871436,62.08994708994709,0.914470145239376,41.46341463414634,3,GLIPH,False,df_spike_HQ2_hash.csv,2,gliphHQ
0,747.0,588.0,14.979170440137656,0.12678862524904908,12.22066386161758,65.2226631393298,2.9827021972884524,24.407039020657994,2,GLIPH,True,df_spike_HQ3_hash.csv,3,gliphHQ
0,99.0,69.0,3.2421662742256836,0.12678862524904908,2.4684431977559607,60.81237738541108,0.822814399251987,33.333333333333336,3,GLIPH,True,df_spike_HQ3_hash.csv,3,gliphHQ
0,524.0,466.0,10.731980929232495,0.13087781621015238,10.72463768115942,54.60362898339997,1.4866760168302946,13.862249346120313,2,GLIPH,False,df_spike_HQ3_hash.csv,3,gliphHQ
0,58.0,45.0,2.0099093203701974,0.13087781621015238,2.01028517999065,52.79830322933771,0.6451612903225806,32.093023255813954,3,GLIPH,False,df_spike_HQ3_hash.csv,3,gliphHQ
0,1212.0,1008.0,18.24626608851263,0.09635900612567967,14.907944695178738,64.70371796517348,3.230890464933018,21.672272945699184,2,GLIPH,True,df_spike_HQ4_hash.csv,4,gliphHQ
0,172.0,127.0,3.9300708926973638,0.09635900612567967,3.044630704205172,54.76825396825397,0.6805645103517444,22.352941176470587,3,GLIPH,True,df_spike_HQ4_hash.csv,4,gliphHQ
0,821.0,759.0,12.821431129575245,0.10027934961678962,12.816104305466007,52.150107302360645,1.139050075220288,8.887646730016769,2,GLIPH,False,df_spike_HQ4_hash.csv,4,gliphHQ
0,106.0,92.0,2.578611847288876,0.10027934961678962,2.5718174654344867,44.48337825696316,0.46564940181961456,18.105849582172702,3,GLIPH,False,df_spike_HQ4_hash.csv,4,gliphHQ
0,1710.0,1458.0,20.79519135325907,0.08271754714900187,16.615384615384617,65.05160759956156,3.343976777939042,20.12578616352201,2,GLIPH,True,df_spike_HQ5_hash.csv,5,gliphHQ
0,232.0,190.0,4.494320061762435,0.08271754714900187,3.1988388969521044,57.09863945578232,0.5283018867924528,16.515426497277677,3,GLIPH,True,df_spike_HQ5_hash.csv,5,gliphHQ
0,1116.0,1057.0,14.014513788098693,0.08708272859216255,14.014513788098693,51.02214541730671,0.7431059506531205,5.302402651201326,2,GLIPH,False,df_spike_HQ5_hash.csv,5,gliphHQ
0,122.0,108.0,2.4731494920174164,0.08708272859216255,2.4731494920174164,40.90749414519906,0.22060957910014514,8.92018779342723,3,GLIPH,False,df_spike_HQ5_hash.csv,5,gliphHQ
0,638.0,20.0,53.57308584686775,2.1577726218097446,33.56573705179283,90.79008705581563,26.228419654714475,78.1404549950544,2,GLIPH,True,tcrvalid_ref,0,tcrvalid
0,269.0,12.0,37.23897911832947,2.1577726218097446,21.679946879150066,90.04768743319666,17.06507304116866,78.71362940275651,3,GLIPH,True,tcrvalid_ref,0,tcrvalid
0,270.0,19.0,29.614873837981406,2.3240371845949537,29.614873837981406,86.73090320263809,22.277556440903055,75.22421524663677,2,GLIPH,False,tcrvalid_ref,0,tcrvalid
0,89.0,11.0,18.758300132802123,2.3240371845949537,18.758300132802123,86.71172881699198,14.608233731739707,77.87610619469027,3,GLIPH,False,tcrvalid_ref,0,tcrvalid
0,742.0,159.0,31.782096906652068,1.0128661374212975,20.573705179282868,84.45473971409203,13.641434262948207,66.30518977536794,2,GLIPH,True,df_ref_tcrvalid_spike_1_hash.csv,1,tcrvalid
0,240.0,26.0,18.039967150287435,1.0128661374212975,10.549800796812749,87.67304519071563,7.729083665338646,73.26283987915407,3,GLIPH,True,df_ref_tcrvalid_spike_1_hash.csv,1,tcrvalid
