,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,minsize,spike_x,label_reference,fold
13,6.0,102,23,8.224418233981512,0.5100414408670705,8.224418233981512,80.41053921568627,5.5307618744022955,67.24806201550388,clustcr,3,1,tcrvalid,6
14,,231,58,12.209116990755499,0.5100414408670705,12.211063287103459,79.47145777502921,7.604017216642755,62.27154046997389,clustcr,2,1,tcrvalid,7
15,7.0,93,15,7.810009563277016,0.5100414408670705,7.811254583134066,85.0312553336747,5.34034752112227,68.36734693877551,clustcr,3,1,tcrvalid,7
16,,242,72,12.623525661459993,0.5100414408670705,12.623525661459993,78.20678374655647,7.810009563277016,61.86868686868687,clustcr,2,1,tcrvalid,8
17,8.0,97,19,8.001275103602168,0.5100414408670705,8.001275103602168,83.25816151202748,5.5148230793751996,68.92430278884463,clustcr,3,1,tcrvalid,8
18,,236,63,12.430278884462151,0.5099601593625498,12.416321326107747,78.36145581113801,7.666560408033153,61.745827984595635,clustcr,2,1,tcrvalid,9
19,9.0,101,20,8.127490039840637,0.5099601593625498,8.112846668791839,82.11191654879772,5.467006694293912,67.38703339882122,clustcr,3,1,tcrvalid,9
20,,226,53,12.077756532823454,0.5098789037603569,12.063745019920319,80.18528761061947,7.808764940239044,64.72919418758256,clustcr,2,1,tcrvalid,10
21,10.0,96,18,7.934990439770554,0.5098789037603569,7.920318725099602,83.56119791666666,5.51394422310757,69.61770623742454,clustcr,3,1,tcrvalid,10
22,,290,121,9.60268371946745,0.3354649334311773,9.60268371946745,72.05490558292283,5.031974001467659,52.40174672489083,clustcr,2,2,tcrvalid,1
23,1.0,114,32,5.912569451724499,0.3354649334311773,5.912569451724499,75.84142648287386,3.585281476045707,60.638297872340424,clustcr,3,2,tcrvalid,1
24,,305,136,9.958071278825996,0.33542976939203356,9.958071278825996,70.59318891491023,4.6750524109014675,46.94736842105263,clustcr,2,2,tcrvalid,2
25,2.0,113,28,5.932914046121593,0.33542976939203356,5.932914046121593,75.93736831015592,3.270440251572327,55.12367491166078,clustcr,3,2,tcrvalid,2
