,Unnamed: 0,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,eps,minsize,spike_x,label_reference,fold,epsilon_scaled
6,4,,308,165,49.45593869731801,14.636015325670495,49.45593869731801,60.16548768835565,2.9578544061302683,5.980787108769755,ismart,5.5,2,1,gliph,4,0.0
7,0,4.0,100,53,43.08045977011494,14.636015325670495,43.08045977011494,51.30970208013539,1.1187739463601531,2.596940590537175,ismart,5.5,3,1,gliph,4,0.0
8,5,,278,149,50.02298850574713,15.279693486590038,50.02298850574713,60.03743732953547,2.789272030651341,5.581110088929776,ismart,5.5,2,1,gliph,5,0.0
9,0,5.0,84,46,44.07662835249042,15.279693486590038,44.07662835249042,49.8858044953674,1.0727969348659003,2.4364775495997217,ismart,5.5,3,1,gliph,5,0.0
10,6,,293,152,49.202942979767016,15.006131207847949,49.19515560325004,60.34797955618532,2.790127242066534,5.673316708229426,ismart,5.5,2,1,gliph,6,0.0
11,0,6.0,97,47,43.19435928877989,15.006131207847949,43.18565077418366,51.87585577280719,1.0424651234094742,2.414772727272727,ismart,5.5,3,1,gliph,6,0.0
12,7,,298,164,48.39055793991416,14.20907418761496,48.382646021769126,59.68627146968686,2.9740916756093823,6.148969889064976,ismart,5.5,2,1,gliph,7,0.0
13,0,7.0,98,58,42.25935009196812,14.20907418761496,42.25049823700751,48.84192753027228,1.1344473401808983,2.686025408348457,ismart,5.5,3,1,gliph,7,0.0
14,8,,310,172,49.31023911710607,14.607602697731451,49.31023911710607,59.68953946847389,2.881667688534641,5.843953994404725,ismart,5.5,2,1,gliph,8,0.0
15,0,8.0,100,53,42.87247087676272,14.607602697731451,42.87247087676272,51.537572352269024,1.1342734518700184,2.645691812656417,ismart,5.5,3,1,gliph,8,0.0
16,9,,325,195,49.83908045977012,14.60536398467433,49.83908045977012,58.71031073004501,3.049808429118774,6.12119347892956,ismart,5.5,2,1,gliph,9,0.0
17,0,9.0,96,58,42.81992337164751,14.60536398467433,42.81992337164751,48.7588644506732,1.2413793103448276,2.9001074113856067,ismart,5.5,3,1,gliph,9,0.0
18,10,,303,163,49.43303708243948,14.511186025130248,49.43303708243948,61.02090576746939,3.064664419246093,6.20347394540943,ismart,5.5,2,1,gliph,10,0.0
19,0,10.0,92,43,42.96659515783022,14.511186025130248,42.96659515783022,53.688417908078506,1.225865767698437,2.8551034975017844,ismart,5.5,3,1,gliph,10,0.0
0,1,,386,207,37.241379310344826,8.42911877394636,37.23175965665236,61.25864295187722,4.383813611281423,11.779242174629324,ismart,6.0,2,1,gliph,1,0.2
1,0,1.0,132,72,29.455938697318008,8.42911877394636,29.44512568976088,52.61997105624703,1.931330472103004,6.5625,ismart,6.0,3,1,gliph,1,0.2
2,2,,380,207,37.61875574624579,8.872203493717437,37.61875574624579,60.49674183907864,4.2598835427520685,11.323828920570264,ismart,6.0,2,1,gliph,2,0.2
3,0,2.0,132,68,30.01838798651548,8.872203493717437,30.01838798651548,51.43001438522639,1.9307385841250384,6.431852986217458,ismart,6.0,3,1,gliph,2,0.2
4,3,,370,188,37.95586883236285,8.289917254060681,37.94636015325671,59.05354435847175,4.291187739463601,11.308562197092083,ismart,6.0,2,1,gliph,3,0.2
5,0,3.0,160,82,31.520073551946066,8.289917254060681,31.509578544061306,49.6863213289659,2.206896551724138,7.003891050583658,ismart,6.0,3,1,gliph,3,0.2
6,4,,366,191,37.42528735632184,9.10344827586207,37.42528735632184,61.10999246923948,3.770114942528736,10.073710073710073,ismart,6.0,2,1,gliph,4,0.2
7,0,4.0,129,67,30.160919540229884,9.10344827586207,30.160919540229884,52.06400964140813,1.440613026819923,4.776422764227642,ismart,6.0,3,1,gliph,4,0.2
8,5,,362,195,38.60536398467433,8.781609195402298,38.60536398467433,60.24823724008575,3.816091954022988,9.88880063542494,ismart,6.0,2,1,gliph,5,0.2
9,0,5.0,125,68,31.34099616858237,8.781609195402298,31.34099616858237,50.07889504728831,1.5478927203065134,4.9412915851272015,ismart,6.0,3,1,gliph,5,0.2
10,6,,375,194,38.24340895156346,8.920907418761496,38.233941437988655,59.67141741929923,3.64862793193316,9.54290296712109,ismart,6.0,2,1,gliph,6,0.2
11,0,6.0,135,69,30.885959534028203,8.920907418761496,30.87536409627472,51.30949283138677,1.5330369461904032,4.965243296921549,ismart,6.0,3,1,gliph,6,0.2
12,7,,379,205,37.40036787247087,8.231146535867566,37.39077111758393,59.00136325404623,3.6179671930093513,9.67609676096761,ismart,6.0,2,1,gliph,7,0.2
13,0,7.0,154,92,30.502759043531576,8.231146535867566,30.49210485972712,47.477380995347545,1.2877510347999386,4.223227752639517,ismart,6.0,3,1,gliph,7,0.2
14,8,,376,203,38.05947271612508,8.844267320662171,38.05947271612508,61.20495080393223,4.245861434702636,11.155859846959324,ismart,6.0,2,1,gliph,8,0.2
15,0,8.0,120,60,30.21152667075414,8.844267320662171,30.21152667075414,53.85884585232098,1.9466584917228693,6.443429731100964,ismart,6.0,3,1,gliph,8,0.2
16,9,,371,197,37.60919540229885,8.490421455938698,37.60919540229885,61.11842458442947,3.8620689655172415,10.273134936812069,ismart,6.0,2,1,gliph,9,0.2
17,0,9.0,120,65,29.915708812260537,8.490421455938698,29.915708812260537,51.45779600686111,1.440613026819923,4.818042029728344,ismart,6.0,3,1,gliph,9,0.2
18,10,,363,189,37.54213913576464,8.65767698437021,37.54213913576464,62.53129310511799,3.999387067116151,10.653061224489797,ismart,6.0,2,1,gliph,10,0.2
19,0,10.0,118,57,30.033711308611707,8.65767698437021,30.033711308611707,55.4988084504901,1.6089488201041986,5.357142857142857,ismart,6.0,3,1,gliph,10,0.2
0,1,,418,181,22.81992337164751,1.4252873563218391,22.808093194359287,68.92492702940802,7.771305947271612,34.07258064516129,ismart,6.5,2,1,gliph,1,0.4
1,0,1.0,144,55,14.421455938697315,1.4252873563218391,14.408338442673209,65.6987465159205,4.3071735131820965,29.8936170212766,ismart,6.5,3,1,gliph,1,0.4
2,2,,420,189,23.000306466441923,1.195219123505976,23.000306466441923,68.41373783286316,7.2939013178057,31.71219187208528,ismart,6.5,2,1,gliph,2,0.4
3,0,2.0,139,50,14.388599448360404,1.195219123505976,14.388599448360404,66.42999920721245,3.9534171008274592,27.476038338658142,ismart,6.5,3,1,gliph,2,0.4
4,3,,400,172,22.770456634998467,1.5323322096230465,22.75862068965517,68.58258959546673,7.295019157088123,32.053872053872055,ismart,6.5,2,1,gliph,3,0.4
5,0,3.0,142,54,14.863622433343547,1.5323322096230465,14.850574712643676,66.42982984638515,4.168582375478927,28.07017543859649,ismart,6.5,3,1,gliph,3,0.4
