,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,316,196,49.46613545816733,9.625498007968128,49.46613545816733,56.38208516205834,2.4382470119521913,4.929123711340206,1,tcrdist,42.00,2,1,tcrvalid,
0,103,62,42.677290836653384,9.625498007968128,42.677290836653384,44.822707875829444,0.8127490039840638,1.9044062733383122,1,tcrdist,42.00,3,1,tcrvalid,1.0
2,319,195,49.31485022307202,10.962396430847674,49.31485022307202,55.536598938040186,2.294455066921606,4.652665589660743,2,tcrdist,42.00,2,1,tcrvalid,
0,111,67,42.68642447418738,10.962396430847674,42.68642447418738,43.38896451562899,0.7010834926704907,1.6424038820455393,2,tcrdist,42.00,3,1,tcrvalid,2.0
3,360,230,49.474187380497135,9.51242829827916,49.474187380497135,55.41021544394306,2.613129381771829,5.281803542673108,3,tcrdist,42.00,2,1,tcrvalid,
0,124,78,41.953473550031866,9.51242829827916,41.953473550031866,43.52965774047985,0.8604206500956023,2.0508925180402584,3,tcrdist,42.00,3,1,tcrvalid,3.0
4,357,225,49.832669322709165,9.466135458167331,49.832669322709165,55.91088222182548,2.6294820717131473,5.276622961304765,4,tcrdist,42.00,2,1,tcrvalid,
0,113,71,42.05577689243028,9.466135458167331,42.05577689243028,42.568008435324735,0.749003984063745,1.7809776430466087,4,tcrdist,42.00,3,1,tcrvalid,4.0
5,334,207,50.43824701195219,9.864541832669323,50.43824701195219,55.7908112149837,2.454183266932271,4.865718799368088,5,tcrdist,42.00,2,1,tcrvalid,
0,115,72,43.45816733067729,9.864541832669323,43.45816733067729,43.340269093952635,0.7330677290836654,1.6868353502016868,5,tcrdist,42.00,3,1,tcrvalid,5.0
6,333,209,50.55785782594836,9.72266496652853,50.55785782594836,55.62801973910856,2.566145999362448,5.075662042875158,6,tcrdist,42.00,2,1,tcrvalid,
0,106,64,43.3216448836468,9.72266496652853,43.3216448836468,43.15217521814293,0.9085113165444693,2.097130242825607,6,tcrdist,42.00,3,1,tcrvalid,6.0
7,361,235,50.57379662097546,9.515460631176284,50.56591742388012,55.176001198766755,2.518731069663638,4.98108448928121,7,tcrdist,42.00,2,1,tcrvalid,
0,118,70,42.827542237806824,9.515460631176284,42.81842818428184,43.80115620978643,0.860832137733142,2.0104244229337302,7,tcrdist,42.00,3,1,tcrvalid,7.0
8,319,198,50.62161300605674,11.874402295186483,50.62161300605674,56.31333489068729,2.4386356391456805,4.817380352644836,8,tcrdist,42.00,2,1,tcrvalid,
0,104,59,43.76793114440548,11.874402295186483,43.76793114440548,44.84570990508889,0.8128785463818935,1.8572469045884923,8,tcrdist,42.00,3,1,tcrvalid,8.0
9,347,229,51.330677290836654,11.330677290836654,51.322919987248966,55.11719971907118,2.534268409308256,4.937888198757764,9,tcrdist,42.00,2,1,tcrvalid,
0,120,75,44.09561752988048,11.330677290836654,44.0867070449474,43.13056918764751,0.8766337264902774,1.9884309472161967,9,tcrdist,42.00,3,1,tcrvalid,9.0
10,340,214,49.29891650732951,9.703632887189293,49.29083665338646,56.110305230472356,2.7888446215139444,5.657937277723892,10,tcrdist,42.00,2,1,tcrvalid,
0,110,66,41.96940726577438,9.703632887189293,41.9601593625498,43.88639798509641,1.0358565737051793,2.468666919863274,10,tcrdist,42.00,3,1,tcrvalid,10.0
