,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,epsilon,reference,Method
eps_3.50,56.0,11.0,93.89110225763612,20.916334661354583,93.89110225763612,43.62841380498836,0.5312084993359893,0.5657708628005658,3.5,tcrvalid,1HOT
eps_0.50,44.0,9.0,5.119558553034948,0.3372164316370325,5.119558553034948,95.07575757575759,4.629061925199264,90.41916167664671,0.5,gliph,1HOT
eps_0.71,66.0,12.0,8.798283261802576,0.3678724708767627,8.798283261802576,90.10461760461762,5.763335377069283,65.50522648083624,0.71,gliph,1HOT
eps_0.93,94.0,14.0,13.703249540159412,0.4598405885959534,13.703249540159412,85.0927116618606,7.480073574494176,54.58612975391499,0.93,gliph,1HOT
eps_1.14,117.0,15.0,18.209687308399754,0.5518087063151441,18.209687308399754,79.93657576990908,8.185162477007971,44.94949494949495,1.14,gliph,1HOT
eps_1.36,145.0,15.0,23.390557939914164,0.7050889025137952,23.390557939914164,75.03555365174556,8.614347026364193,36.82830930537352,1.36,gliph,1HOT
eps_1.57,165.0,15.0,28.44880441446965,0.9809932556713673,28.44880441446965,69.95126696224054,8.798283261802576,30.926724137931036,1.57,gliph,1HOT
eps_1.79,204.0,15.0,35.99019006744329,1.1036174126302882,35.99019006744329,65.73146339859707,8.461066830165542,23.509369676320272,1.79,gliph,1HOT
eps_2.00,224.0,15.0,46.382587369711835,1.4408338442673208,46.382587369711835,61.572206565160236,6.161863887185776,13.284864507600792,2.0,gliph,1HOT
eps_2.43,222.0,15.0,66.30901287553648,2.4831391784181482,66.30901287553648,53.91800150105989,1.8087063151440834,2.7276930189551547,2.43,gliph,1HOT
eps_2.64,183.0,15.0,77.06928264868179,5.610055180870631,77.06928264868179,48.93466299603993,1.1036174126302882,1.431980906921241,2.64,gliph,1HOT
eps_2.86,136.0,14.0,84.64132434089515,12.752912323727774,84.64132434089515,45.548789146339146,0.09196811771919068,0.10865628395508874,2.86,gliph,1HOT
eps_3.07,95.0,13.0,89.36235438381361,12.752912323727774,89.36235438381361,43.69033430733256,0.09196811771919068,0.10291595197255575,3.07,gliph,1HOT
eps_3.29,67.0,11.0,93.13304721030043,12.783568362967504,93.13304721030043,43.28329200250327,0.09196811771919068,0.09874917709019092,3.29,gliph,1HOT
eps_3.50,44.0,11.0,95.7388105456775,13.427345187001839,95.7388105456775,38.6717778510981,0.0,0.0,3.5,gliph,1HOT
eps_0.50,6.0,5.0,2.09020902090209,0.44004400440044006,2.09020902090209,94.44444444444446,1.7601760176017602,84.21052631578948,0.5,gliph_HQ,1HOT
eps_0.71,13.0,7.0,5.390539053905391,0.77007700770077,5.390539053905391,96.92307692307692,4.84048404840484,89.79591836734694,0.71,gliph_HQ,1HOT
eps_0.93,20.0,7.0,9.68096809680968,0.9900990099009901,9.68096809680968,94.66666666666667,8.140814081408141,84.0909090909091,0.93,gliph_HQ,1HOT
eps_1.14,29.0,7.0,15.401540154015402,1.21012101210121,15.401540154015402,94.36781609195404,12.43124312431243,80.71428571428571,1.14,gliph_HQ,1HOT
eps_1.36,33.0,7.0,18.151815181518153,1.4301430143014302,18.151815181518153,94.33261183261185,13.421342134213422,73.93939393939394,1.36,gliph_HQ,1HOT
eps_1.57,40.0,8.0,21.342134213421343,1.4301430143014302,21.342134213421343,95.06746031746032,16.17161716171617,75.77319587628865,1.57,gliph_HQ,1HOT
eps_1.79,42.0,8.0,23.982398239823983,2.09020902090209,23.982398239823983,95.30761427377969,17.931793179317932,74.77064220183486,1.79,gliph_HQ,1HOT
eps_2.00,41.0,8.0,26.842684268426844,2.42024202420242,26.842684268426844,92.55845780236024,18.151815181518153,67.62295081967213,2.0,gliph_HQ,1HOT
eps_2.43,51.0,9.0,37.843784378437846,2.5302530253025304,37.843784378437846,82.15621382501179,18.26182618261826,48.25581395348837,2.43,gliph_HQ,1HOT
eps_2.64,53.0,12.0,44.114411441144114,2.75027502750275,44.114411441144114,80.79047946426299,18.48184818481848,41.895261845386536,2.64,gliph_HQ,1HOT
eps_2.86,58.0,11.0,49.72497249724972,4.400440044004401,49.72497249724972,76.77856198046761,17.601760176017603,35.39823008849557,2.86,gliph_HQ,1HOT
eps_3.07,64.0,11.0,56.215621562156215,4.9504950495049505,56.215621562156215,74.6329417110667,19.141914191419144,34.05088062622309,3.07,gliph_HQ,1HOT
eps_3.29,65.0,11.0,62.926292629262925,6.270627062706271,62.926292629262925,70.15266573253024,16.611661166116612,26.3986013986014,3.29,gliph_HQ,1HOT
eps_3.50,70.0,11.0,69.08690869086908,6.49064906490649,69.08690869086908,67.46246757476888,16.501650165016503,23.88535031847134,3.5,gliph_HQ,1HOT
eps_2.00,34.0,5.0,4.150066401062417,0.29880478087649404,4.150066401062417,98.67647058823529,3.851261620185923,92.8,2.0,tcrvalid,PC
eps_2.71,46.0,6.0,6.274900398406374,0.6308100929614874,6.274900398406374,98.46014492753623,5.776892430278885,92.06349206349206,2.71,tcrvalid,PC
eps_3.43,52.0,6.0,8.99734395750332,1.1288180610889775,8.99734395750332,98.18376068376067,8.333333333333334,92.619926199262,3.43,tcrvalid,PC
eps_4.14,46.0,7.0,11.288180610889775,1.792828685258964,11.288180610889775,98.19231955217154,11.02257636122178,97.6470588235294,4.14,tcrvalid,PC
eps_4.86,40.0,8.0,13.346613545816734,4.51527224435591,13.346613545816734,95.44975490196079,12.649402390438247,94.77611940298507,4.86,tcrvalid,PC
eps_5.57,37.0,11.0,15.305444887118194,8.233731739707835,15.305444887118194,90.32981866173718,14.04382470119522,91.75704989154013,5.57,tcrvalid,PC
eps_6.29,39.0,12.0,17.43027888446215,9.56175298804781,17.43027888446215,85.20778076699128,15.43824701195219,88.57142857142857,6.29,tcrvalid,PC
eps_7.00,49.0,12.0,19.820717131474105,11.321381142098273,19.820717131474105,84.47034203452901,17.264276228419654,87.10217755443887,7.0,tcrvalid,PC
eps_7.71,57.0,15.0,21.646746347941566,11.91899070385126,21.646746347941566,80.59609419234108,17.895086321381143,82.66871165644172,7.71,tcrvalid,PC
eps_8.43,81.0,15.0,25.863213811420984,12.682602921646746,25.863213811420984,79.96850813992562,19.223107569721115,74.32605905006419,8.43,tcrvalid,PC
eps_9.14,101.0,17.0,31.673306772908365,13.877822045152723,31.673306772908365,73.49354988344969,20.617529880478088,65.09433962264151,9.14,tcrvalid,PC
eps_9.86,118.0,17.0,38.147410358565736,16.46746347941567,38.147410358565736,64.75179833442144,19.15670650730412,50.217580504786774,9.86,tcrvalid,PC
eps_10.57,141.0,17.0,47.01195219123506,17.729083665338646,47.01195219123506,58.42307769166975,19.754316069057104,42.01977401129943,10.57,tcrvalid,PC
eps_11.29,110.0,14.0,57.13811420982736,18.89110225763612,57.13811420982736,56.69015271163099,20.48472775564409,35.85124927367809,11.29,tcrvalid,PC
eps_12.00,78.0,13.0,67.39707835325365,19.55511288180611,67.39707835325365,55.44187714705356,1.0624169986719787,1.5763546798029557,12.0,tcrvalid,PC
eps_2.00,17.0,8.0,1.9926425505824648,0.27590435315757206,1.9926425505824648,100.0,1.9926425505824648,100.0,2.0,gliph,PC
eps_2.71,28.0,9.0,3.3721643163703248,0.30656039239730226,3.3721643163703248,98.80952380952382,3.2801961986511343,97.27272727272727,2.71,gliph,PC
eps_3.43,40.0,9.0,4.935622317596566,0.30656039239730226,4.935622317596566,98.75,4.659717964438994,94.40993788819875,3.43,gliph,PC
eps_4.14,49.0,9.0,6.437768240343348,0.3372164316370325,6.437768240343348,97.58260447035957,5.793991416309013,90.0,4.14,gliph,PC
eps_4.86,55.0,10.0,8.399754751686082,0.49049662783568365,8.399754751686082,90.3917748917749,5.977927651747394,71.16788321167883,4.86,gliph,PC
eps_5.57,64.0,11.0,10.177805027590436,0.7050889025137952,10.177805027590436,89.74998287358422,6.437768240343348,63.25301204819277,5.57,gliph,PC
eps_6.29,74.0,13.0,12.783568362967504,0.7664009809932557,12.783568362967504,86.48166195225018,7.572041692213366,59.2326139088729,6.29,gliph,PC
eps_7.00,90.0,15.0,16.676885346413243,0.8890251379521765,16.676885346413243,84.4155184791906,8.767627222562846,52.5735294117647,7.0,gliph,PC
eps_7.71,105.0,15.0,21.060698957694665,1.226241569589209,21.060698957694665,81.52240413073442,8.522378908645003,40.46579330422125,7.71,gliph,PC
eps_8.43,119.0,15.0,25.935009196811773,1.9926425505824648,25.935009196811773,75.81896863104726,6.866952789699571,26.47754137115839,8.43,gliph,PC
eps_9.14,142.0,15.0,32.46474555487431,4.169221336603311,32.46474555487431,68.31689398400034,5.732679337829553,17.658168083097262,9.14,gliph,PC
eps_9.86,156.0,15.0,40.4659717964439,5.027590435315757,40.4659717964439,62.92587061441925,3.740036787247088,9.242424242424242,9.86,gliph,PC
eps_10.57,149.0,15.0,48.957694665849175,15.297363580625383,48.957694665849175,60.381189434056424,3.1882280809319434,6.512210394489668,10.57,gliph,PC
eps_11.29,121.0,14.0,58.09319435928878,21.673819742489272,58.09319435928878,58.30148122492899,2.329858982219497,4.010554089709762,11.29,gliph,PC
eps_12.00,80.0,14.0,68.33231146535867,42.795830778663394,68.33231146535867,60.255121223889134,1.747394236664623,2.557200538358008,12.0,gliph,PC
eps_2.00,4.0,4.0,1.4301430143014302,0.44004400440044006,1.4301430143014302,100.0,1.4301430143014302,100.0,2.0,gliph_HQ,PC
eps_2.71,6.0,5.0,2.31023102310231,0.5500550055005501,2.31023102310231,100.0,2.31023102310231,100.0,2.71,gliph_HQ,PC
eps_3.43,12.0,6.0,4.730473047304731,0.6600660066006601,4.730473047304731,100.0,4.730473047304731,100.0,3.43,gliph_HQ,PC
eps_4.14,15.0,6.0,5.83058305830583,0.6600660066006601,5.83058305830583,98.33333333333333,5.390539053905391,92.45283018867924,4.14,gliph_HQ,PC
eps_4.86,22.0,7.0,8.47084708470847,0.6600660066006601,8.47084708470847,96.66666666666669,7.590759075907591,89.6103896103896,4.86,gliph_HQ,PC
eps_5.57,25.0,7.0,10.231023102310232,0.6600660066006601,10.231023102310232,97.06666666666668,9.350935093509351,91.39784946236558,5.57,gliph_HQ,PC
eps_6.29,30.0,6.0,13.311331133113312,0.8800880088008801,13.311331133113312,95.05555555555557,11.551155115511552,86.77685950413223,6.29,gliph_HQ,PC
eps_7.00,35.0,7.0,17.051705170517053,0.8800880088008801,17.051705170517053,96.3265306122449,14.521452145214521,85.16129032258064,7.0,gliph_HQ,PC
eps_7.71,37.0,8.0,20.792079207920793,1.54015401540154,20.792079207920793,97.95218295218297,17.931793179317932,86.24338624338624,7.71,gliph_HQ,PC
eps_8.43,38.0,9.0,23.54235423542354,2.2002200220022003,23.54235423542354,96.88596491228071,19.58195819581958,83.17757009345794,8.43,gliph_HQ,PC
eps_9.14,43.0,10.0,28.272827282728272,2.42024202420242,28.272827282728272,93.70114381742289,19.03190319031903,67.31517509727627,9.14,gliph_HQ,PC
eps_9.86,42.0,10.0,31.353135313531354,3.5203520352035205,31.353135313531354,90.03912797002859,18.81188118811881,60.0,9.86,gliph_HQ,PC
eps_10.57,43.0,10.0,36.633663366336634,4.18041804180418,36.633663366336634,85.43609626278268,18.48184818481848,50.450450450450454,10.57,gliph_HQ,PC
eps_11.29,43.0,12.0,42.354235423542356,7.15071507150715,42.354235423542356,77.92675746506116,17.27172717271727,40.77922077922078,11.29,gliph_HQ,PC
eps_12.00,42.0,12.0,48.294829482948295,14.191419141914192,48.294829482948295,75.34384942607534,11.881188118811881,24.60136674259681,12.0,gliph_HQ,PC
