,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,epsilon,chains,minsize,flu_included,feature,sources,mean_features
3,97.0,12.0,42.08521780528446,22.06617472030469,42.08521780528446,90.00211772020732,37.34825041656748,88.74434389140272,tcrdist,90.0,TR,3,True,CDR123,both,False
4,86.0,13.0,44.298976434182336,26.303261128302783,44.298976434182336,89.62691725283192,33.94429897643418,76.62547017732402,tcrdist,95.0,TR,3,True,CDR123,both,False
5,80.0,13.0,47.84575101166389,30.802189954772672,47.84575101166389,90.46685386300229,7.498214710783147,15.671641791044776,tcrdist,100.0,TR,3,True,CDR123,both,False
6,71.0,14.0,51.77338728874078,40.91882885027375,51.77338728874078,90.57633737663626,7.069745298738396,13.655172413793103,tcrdist,105.0,TR,3,True,CDR123,both,False
7,65.0,14.0,54.86788859795287,46.39371578195668,54.86788859795287,93.22558316819674,6.569864318019519,11.973969631236445,tcrdist,110.0,TR,3,True,CDR123,both,False
8,7.0,2.0,16.757914782194714,5.21304451321114,16.757914782194714,94.569693624616,15.924779814329922,95.0284090909091,tcrdist_original,,TR,3,True,CDR123,both,False
0,31.0,7.0,5.361216730038023,0.7984790874524715,5.361216730038023,98.9247311827957,5.247148288973384,97.87234042553192,tcrdist,30.0,TR,3,False,CDR123,both,False
1,49.0,9.0,9.657794676806084,1.4828897338403042,9.657794676806084,98.23129251700682,9.23954372623574,95.66929133858268,tcrdist,50.0,TR,3,False,CDR123,both,False
2,74.0,12.0,16.34980988593156,1.9011406844106464,16.34980988593156,97.46662046662044,15.133079847908744,92.55813953488372,tcrdist,70.0,TR,3,False,CDR123,both,False
3,87.0,12.0,28.136882129277566,4.030418250950571,28.136882129277566,92.46716398738307,21.673003802281368,77.02702702702703,tcrdist,90.0,TR,3,False,CDR123,both,False
4,82.0,13.0,30.15209125475285,4.524714828897339,30.15209125475285,91.99315308484653,15.095057034220533,50.06305170239597,tcrdist,95.0,TR,3,False,CDR123,both,False
5,79.0,13.0,34.52471482889734,6.920152091254753,34.52471482889734,91.95316705468396,16.273764258555133,47.136563876651984,tcrdist,100.0,TR,3,False,CDR123,both,False
