fold,roc
0,0.956462146370406
1,0.9556665293308589
2,0.9532468177225376
3,0.9564698718323067
4,0.9469458346579195
5,0.9449110323158212
6,0.9438039136929085
7,0.9575570968892093
8,0.9560183668205193
9,0.9657641417605864
