,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,186,128,6.038192576654115,0.12103281334050565,6.038192576654115,66.20583717357911,2.461000537923615,40.75723830734967,1,tcrdist,20.00,2,2,gliph_HQ,
0,40,18,2.1113501882732653,0.12103281334050565,2.1113501882732653,79.10714285714286,1.465841850457235,69.4267515923567,1,tcrdist,20.00,3,2,gliph_HQ,1.0
2,225,167,7.220653489310206,0.12101653892698669,7.20817643894567,62.72910052910053,2.4072081764389455,33.3955223880597,2,tcrdist,20.00,2,2,gliph_HQ,
0,48,27,2.4606696248487294,0.12101653892698669,2.4475524475524475,70.0843253968254,1.3851533082302314,56.59340659340659,2,tcrdist,20.00,3,2,gliph_HQ,2.0
3,218,160,7.019903173749327,0.12103281334050565,7.019903173749327,63.52573904179409,2.4878967186659495,35.440613026819925,3,tcrdist,20.00,2,2,gliph_HQ,
0,44,23,2.339967724583109,0.12103281334050565,2.339967724583109,73.83207070707071,1.465841850457235,62.64367816091954,3,tcrdist,20.00,3,2,gliph_HQ,3.0
4,206,148,6.536650975117687,0.121049092131809,6.536650975117687,64.80582524271844,2.5285810356422327,38.68312757201646,4,tcrdist,20.00,2,2,gliph_HQ,
0,41,20,2.098184263618023,0.121049092131809,2.098184263618023,78.04878048780489,1.5063887020847344,71.7948717948718,4,tcrdist,20.00,3,2,gliph_HQ,4.0
5,195,137,6.416464891041162,0.14796879203658864,6.416464891041162,65.22244422244422,2.5020177562550443,38.9937106918239,5,tcrdist,20.00,2,2,gliph_HQ,
0,42,20,2.3002421307506054,0.14796879203658864,2.3002421307506054,76.62801484230056,1.5065913370998116,65.49707602339181,5,tcrdist,20.00,3,2,gliph_HQ,5.0
6,211,153,6.845998655010088,0.121049092131809,6.845998655010088,63.81836304822087,2.340282447881641,34.184675834970534,6,tcrdist,20.00,2,2,gliph_HQ,
0,44,22,2.3537323470073974,0.121049092131809,2.3537323470073974,74.21987734487735,1.3449899125756557,57.142857142857146,6,tcrdist,20.00,3,2,gliph_HQ,6.0
7,188,130,6.09362389023406,0.12106537530266344,6.09362389023406,66.16514690982775,2.4482109227871938,40.1766004415011,7,tcrdist,20.00,2,2,gliph_HQ,
0,39,18,2.0850147968792037,0.12106537530266344,2.0850147968792037,79.20634920634922,1.425881086898036,68.38709677419355,7,tcrdist,20.00,3,2,gliph_HQ,7.0
8,191,133,6.202071841786627,0.12108166285483654,6.176826806620912,66.2353527798554,2.5299421343022472,40.95860566448802,8,tcrdist,20.00,2,2,gliph_HQ,
0,42,20,2.1929234494820395,0.12108166285483654,2.1935136589960975,77.40362811791384,1.5071995693715516,68.71165644171779,8,tcrdist,20.00,3,2,gliph_HQ,8.0
9,208,150,6.590450571620713,0.121049092131809,6.590450571620713,64.55929487179486,2.488231338264963,37.755102040816325,9,tcrdist,20.00,2,2,gliph_HQ,
0,41,20,2.098184263618023,0.121049092131809,2.098184263618023,77.52032520325204,1.4660390047074647,69.87179487179488,9,tcrdist,20.00,3,2,gliph_HQ,9.0
10,205,147,6.5536266989638,0.12111425111021397,6.5536266989638,64.648470770422,2.3415421881308034,35.728952772073924,10,tcrdist,20.00,2,2,gliph_HQ,
0,42,21,2.1665993809716055,0.12111425111021397,2.1665993809716055,76.26039304610734,1.3187996232001076,60.869565217391305,10,tcrdist,20.00,3,2,gliph_HQ,10.0
