,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,291,229,9.749865519096288,0.228617536309844,9.749865519096288,59.821328302225815,2.729962345346961,28.0,1,ismart,7.00,2,2,gliph_HQ,
0,61,37,3.563743948359333,0.228617536309844,3.563743948359333,63.24600878602808,1.6272189349112427,45.660377358490564,1,ismart,7.00,3,2,gliph_HQ,1.0
2,303,239,10.151942987763883,0.18824794944197928,10.13986013986014,59.46408926606946,2.9182356105433027,28.779840848806366,2,ismart,7.00,2,2,gliph_HQ,
0,66,43,3.778405270942584,0.18824794944197928,3.7789133942980095,60.115440115440116,1.7482517482517483,46.263345195729535,2,ismart,7.00,3,2,gliph_HQ,2.0
3,321,259,10.852608929532007,0.20172135556750942,10.852608929532007,58.63311575928398,2.972027972027972,27.385377942998762,3,ismart,7.00,2,2,gliph_HQ,
0,65,43,3.967186659494352,0.20172135556750942,3.967186659494352,59.557387057387054,1.8154922001075848,45.76271186440678,3,ismart,7.00,3,2,gliph_HQ,3.0
4,272,211,9.347679892400807,0.25554808338937457,9.347679892400807,60.68508224661475,2.5689307330195024,27.48201438848921,4,ismart,7.00,2,2,gliph_HQ,
0,56,34,3.5373234700739746,0.25554808338937457,3.5373234700739746,64.3989709121288,1.4391392064559516,40.68441064638783,4,ismart,7.00,3,2,gliph_HQ,4.0
5,298,236,9.91390906645144,0.20177562550443906,9.91390906645144,59.9388782358581,2.865213882163035,28.900949796472183,5,ismart,7.00,2,2,gliph_HQ,
0,58,36,3.4570890503093894,0.20177562550443906,3.4570890503093894,63.99630541871922,1.7083669626042508,49.416342412451364,5,ismart,7.00,3,2,gliph_HQ,5.0
6,287,224,9.670477471418964,0.1882985877605918,9.670477471418964,59.976494662905814,2.9051782111634163,30.041724617524338,6,ismart,7.00,2,2,gliph_HQ,
0,64,41,3.67182246133154,0.1882985877605918,3.67182246133154,61.144593253968246,1.7484868863483525,47.61904761904762,6,ismart,7.00,3,2,gliph_HQ,6.0
7,296,234,9.779391982781814,0.18832391713747645,9.779391982781814,60.30832343332343,2.851762173796072,29.160935350756535,7,ismart,7.00,2,2,gliph_HQ,
0,49,27,3.1342480495022866,0.18832391713747645,3.1342480495022866,67.37272931150483,1.668011837503363,53.21888412017167,7,ismart,7.00,3,2,gliph_HQ,7.0
8,285,222,9.619265437912015,0.18834925332974572,9.594940115731395,60.68530300109247,2.8529134705961514,29.733520336605892,8,ismart,7.00,2,2,gliph_HQ,
0,56,33,3.457554150410332,0.18834925332974572,3.458484726147221,65.09484563055992,1.6955995155429955,49.02723735408561,8,ismart,7.00,3,2,gliph_HQ,8.0
9,301,239,9.912575655682582,0.1882985877605918,9.912575655682582,59.54411221853082,2.757229320780094,27.815468113975577,9,ismart,7.00,2,2,gliph_HQ,
0,63,42,3.5104236718224615,0.1882985877605918,3.5104236718224615,61.47266313932981,1.6005379959650303,45.593869731800766,9,ismart,7.00,3,2,gliph_HQ,9.0
10,301,239,9.971740008074283,0.18839994617144395,9.971740008074283,59.72591362126246,2.9336563046696273,29.41970310391363,10,ismart,7.00,2,2,gliph_HQ,
0,59,38,3.458484726147221,0.18839994617144395,3.458484726147221,61.483050847457626,1.7225137935674875,49.80544747081712,10,ismart,7.00,3,2,gliph_HQ,10.0
