,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,minsize,spike_x,label_reference,index
0,627,463,8.681705298013245,0.16556291390728478,8.681705298013245,58.06841915394547,2.3696192052980134,27.294398092967818,1,clustcr,2,5,tcrvalid,
1,168,86,3.9321192052980134,0.16556291390728478,3.9321192052980134,60.46963577097505,1.6866721854304636,42.89473684210526,1,clustcr,3,5,tcrvalid,1.0
2,633,469,8.806788781951775,0.16558004760426367,8.797350445042435,57.32573848391383,2.3080107638170153,26.235294117647058,2,clustcr,2,5,tcrvalid,
3,178,95,4.098106178205526,0.16558004760426367,4.088180500931484,58.916811574817196,1.6766714965845582,41.0126582278481,2,clustcr,3,5,tcrvalid,2.0
4,594,432,8.37644867549669,0.16556291390728478,8.372141156990583,58.30375514403292,2.3129462899720585,27.626699629171817,3,clustcr,2,5,tcrvalid,
5,173,92,4.020074503311259,0.16556291390728478,4.015316154403394,59.146997430956965,1.6195798406292041,40.33505154639175,3,clustcr,3,5,tcrvalid,3.0
6,620,460,8.825659596482152,0.16554578375581996,8.826116198458275,57.12399193548387,2.2453308500181075,25.439624853458383,4,clustcr,2,5,tcrvalid,
7,192,109,4.397309881013968,0.16554578375581996,4.397537379067722,56.598307291666664,1.593460603238657,36.23529411764706,4,clustcr,3,5,tcrvalid,4.0
8,619,461,8.748060010346611,0.16554578375581996,8.738617549668874,57.57547054901659,2.178187086092715,24.92599171107164,5,clustcr,2,5,tcrvalid,
9,180,99,4.205897568546301,0.16554578375581996,4.195985099337748,58.27342372134038,1.5159354304635762,36.128236744759555,5,clustcr,3,5,tcrvalid,5.0
10,602,432,8.665735423456981,0.1655543483884319,8.646830530401035,58.02901221609693,2.3751617076326004,27.468581687612208,6,clustcr,2,5,tcrvalid,
11,183,98,4.330280925034922,0.1655543483884319,4.3104786545924965,57.83314401142269,1.6714100905562743,38.775510204081634,6,clustcr,3,5,tcrvalid,6.0
12,611,446,8.499741334712882,0.17071908949818934,8.49071247477622,58.49656253911574,2.3645677032131216,27.84887263863498,7,clustcr,2,5,tcrvalid,
13,171,89,3.9472322814278322,0.17071908949818934,3.9374967661820253,60.47602170409187,1.660888911884928,42.18134034165572,7,clustcr,3,5,tcrvalid,7.0
14,643,473,8.913605794102432,0.16554578375581996,8.913605794102432,57.76575884371374,2.296947749612002,25.769007544979686,8,clustcr,2,5,tcrvalid,
15,177,89,4.092084842214175,0.16554578375581996,4.092084842214175,59.84962111021433,1.6244180031039834,39.69658659924146,8,clustcr,3,5,tcrvalid,8.0
16,633,470,8.909815284317276,0.16557148031251617,8.896134140661388,57.37019025822343,2.3650571857372045,26.58522396742292,9,clustcr,2,5,tcrvalid,
17,193,112,4.356599575723082,0.16557148031251617,4.3419758836619575,56.556116235520385,1.6612327278372923,38.25983313468415,9,clustcr,3,5,tcrvalid,9.0
18,620,458,8.786545924967658,0.16558861578266496,8.777105004398903,57.70669015124661,2.375407545412203,27.06367924528302,10,clustcr,2,5,tcrvalid,
19,174,90,4.170763260025873,0.16558861578266496,4.16084458934948,58.78245915961433,1.7026341665372873,40.92039800995025,10,clustcr,3,5,tcrvalid,10.0
