,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,minsize,spike_x,label_reference,index
0,290,121,9.60268371946745,0.3354649334311773,9.60268371946745,72.05490558292283,5.031974001467659,52.40174672489083,1,clustcr,2,2,tcrvalid,
1,114,32,5.912569451724499,0.3354649334311773,5.912569451724499,75.84142648287386,3.585281476045707,60.638297872340424,1,clustcr,3,2,tcrvalid,1.0
2,305,136,9.958071278825996,0.33542976939203356,9.958071278825996,70.59318891491023,4.6750524109014675,46.94736842105263,2,clustcr,2,2,tcrvalid,
3,113,28,5.932914046121593,0.33542976939203356,5.932914046121593,75.93736831015592,3.270440251572327,55.12367491166078,2,clustcr,3,2,tcrvalid,2.0
4,299,134,9.749449627843589,0.3354649334311773,9.749449627843589,71.80963661941924,5.063423838976832,51.935483870967744,3,clustcr,2,2,tcrvalid,
5,107,31,5.723870426669462,0.3354649334311773,5.723870426669462,75.89795653463878,3.4909319635181886,60.989010989010985,3,clustcr,3,2,tcrvalid,3.0
6,299,130,9.719018662193331,0.3355001048437828,9.709552270105902,71.41374024526198,4.959630911188005,51.07991360691145,4,clustcr,2,2,tcrvalid,
7,114,36,5.839798699937094,0.3355001048437828,5.829925553108944,75.02375730994152,3.470693090070253,59.53237410071942,4,clustcr,3,2,tcrvalid,4.0
8,281,109,9.40547341931425,0.33553528363216945,9.40547341931425,72.63419335705812,5.074971164936563,53.95763656633222,5,clustcr,2,2,tcrvalid,
9,117,34,5.966236762084513,0.33553528363216945,5.966236762084513,74.8735754985755,3.6279752542728323,60.80843585237258,5,clustcr,3,2,tcrvalid,5.0
10,300,133,9.624659257706018,0.3355001048437828,9.616191275167786,71.65082671957673,4.813338926174497,50.05452562704471,6,clustcr,2,2,tcrvalid,
11,101,25,5.45187670371147,0.3355001048437828,5.44253355704698,79.6559209492378,3.3452181208053693,61.46435452793834,6,clustcr,3,2,tcrvalid,6.0
12,294,129,9.552270105903323,0.33553528363216945,9.552270105903323,71.74674036281178,4.980601866415015,52.14050493962679,7,clustcr,2,2,tcrvalid,
13,110,32,5.693614344133375,0.33553528363216945,5.693614344133375,77.21401515151516,3.554576910978295,62.430939226519335,7,clustcr,3,2,tcrvalid,7.0
14,302,134,9.888842281879194,0.33557046979865773,9.880427942101951,71.03296147377273,4.898258863016572,49.575371549893845,8,clustcr,2,2,tcrvalid,
15,119,35,6.050755033557047,0.33557046979865773,6.041535556954059,75.2265072695745,3.4927627438640654,57.8125,8,clustcr,3,2,tcrvalid,8.0
16,293,122,9.530299853218704,0.3355001048437828,9.531299150676313,72.11336610867329,4.896718045506973,51.375137513751376,9,clustcr,2,2,tcrvalid,
17,105,25,5.588173621304256,0.3355001048437828,5.588759567998323,78.37348828420258,3.4287511796162313,61.350844277673545,9,clustcr,3,2,tcrvalid,9.0
18,299,134,9.817495280050347,0.3356408642752255,9.808035245987622,71.11114429049212,4.846323298017413,49.411764705882355,10,clustcr,2,2,tcrvalid,
19,114,40,5.936647786868051,0.3356408642752255,5.926780656666317,73.79151002506266,3.335780971362635,56.283185840707965,10,clustcr,3,2,tcrvalid,10.0
