,repertoire_id
160,1322701767323348500-242ac114-0001-012
161,7342677051295854100-242ac117-0001-012
162,8806130330176393706-242ac116-0001-012
163,1309018823166914070-242ac113-0001-012
164,1322615867977428500-242ac114-0001-012
165,976330656418754070-242ac113-0001-012
166,5641110652533674476-242ac114-0001-012
167,3309790450036576746-242ac113-0001-012
168,3549191927115616746-242ac113-0001-012
169,2120704493213979116-242ac114-0001-012
170,3293727272349536746-242ac113-0001-012
171,2433962433391029780-242ac117-0001-012
172,1322487018958548500-242ac114-0001-012
173,3421287801040736746-242ac113-0001-012
174,5639092022199521772-242ac114-0001-012
175,3231879743287136746-242ac113-0001-012
176,2125772554623259116-242ac114-0001-012
177,771374817053634070-242ac113-0001-012
178,1168401593895874070-242ac113-0001-012
179,2431857895121022484-242ac117-0001-012
180,5639693313325994476-242ac114-0001-012
181,2888625956990816746-242ac113-0001-012
182,2423783360899509780-242ac117-0001-012
183,3776487502411722260-242ac117-0001-012
184,434606431374274070-242ac113-0001-012
185,7855074968447226346-242ac113-0001-012
186,3935870993934914026-242ac113-0001-012
187,2139602349316379116-242ac114-0001-012
188,323152030043074070-242ac113-0001-012
189,7347616263686254100-242ac117-0001-012
190,5639092017904554476-242ac114-0001-012
191,2152916747933979116-242ac114-0001-012
192,2142737675442459116-242ac114-0001-012
193,2633633748627296746-242ac113-0001-012
194,2721379930484576746-242ac113-0001-012
195,3777518294562762260-242ac117-0001-012
196,3515991829917536746-242ac113-0001-012
197,3566285896953696746-242ac113-0001-012
198,2434821426850229780-242ac117-0001-012
199,7339584674842734100-242ac117-0001-012
200,5633895107476394476-242ac114-0001-012
201,5636343238835114476-242ac114-0001-012
202,2434950275869109780-242ac117-0001-012
203,2618085967015776746-242ac113-0001-012
204,2132172055894299116-242ac114-0001-012
205,7340658416666734100-242ac117-0001-012
206,2431857899415989780-242ac117-0001-012
207,577542942985154070-242ac113-0001-012
208,5639564464307114476-242ac114-0001-012
209,1322444069285588500-242ac114-0001-012
210,7942391653574906346-242ac113-0001-012
211,2141706883291419116-242ac114-0001-012
212,3774769515493322260-242ac117-0001-012
213,7976215376475787756-242ac117-0001-012
214,8082063990040826346-242ac113-0001-012
215,2138356808800539116-242ac114-0001-012
216,2839362682105696746-242ac113-0001-012
217,9013920847956873706-242ac116-0001-012
218,2122121832421659116-242ac114-0001-012
219,2924317135220576746-242ac113-0001-012
220,1323431911763668500-242ac114-0001-012
221,5626464814054314476-242ac114-0001-012
222,2120833342232859116-242ac114-0001-012
223,2431900849088949780-242ac117-0001-012
224,3463550279233376746-242ac113-0001-012
225,7803277662857466346-242ac113-0001-012
226,7979113623955706346-242ac113-0001-012
227,2425243649780149780-242ac117-0001-012
228,7820156884330746346-242ac113-0001-012
229,8136352376662266346-242ac113-0001-012
230,7889305857796346346-242ac113-0001-012
231,2131141263743259116-242ac114-0001-012
232,7837852149590266346-242ac113-0001-012
233,2433962429096062484-242ac117-0001-012
234,7343106543730486804-242ac117-0001-012
235,3005449067442016746-242ac113-0001-012
236,7769433320564986346-242ac113-0001-012
237,8828507109788553706-242ac116-0001-012
238,7341989852233526804-242ac117-0001-012
239,5325894209612354026-242ac113-0001-012
240,7340314819283054100-242ac117-0001-012
241,2797057254240096746-242ac113-0001-012
242,7976516024186507756-242ac117-0001-012
243,2939134772391776746-242ac113-0001-012
244,7977718615029387756-242ac117-0001-012
245,2138399758473499116-242ac114-0001-012
246,2140933789178139116-242ac114-0001-012
247,7341989856528494100-242ac117-0001-012
248,7341388561107054100-242ac117-0001-012
249,2145830051895579116-242ac114-0001-012
250,2131484861126939116-242ac114-0001-012
251,7347959861069934100-242ac117-0001-012
252,2434434879793589780-242ac117-0001-012
253,2121091040270619116-242ac114-0001-012
