,repertoire_id
160,2909925490085401066-242ac113-0001-012
161,7921760616207871510-242ac113-0001-012
162,8892411611512237590-242ac113-0001-012
163,5200910661298754026-242ac113-0001-012
164,1424701128901267946-242ac113-0001-012
165,5438207604402754026-242ac113-0001-012
166,2121133989943579116-242ac114-0001-012
167,3945296481287597590-242ac113-0001-012
168,4048024203625107946-242ac113-0001-012
169,4715856563862957590-242ac113-0001-012
170,3776745200449482260-242ac117-0001-012
171,3040581899923296746-242ac113-0001-012
172,2140547242121499116-242ac114-0001-012
173,6819059099041197590-242ac113-0001-012
174,6671409736996351510-242ac113-0001-012
175,7963593597670911510-242ac113-0001-012
176,8526351548874157590-242ac113-0001-012
177,4869694397022867946-242ac113-0001-012
178,3100410794356576746-242ac113-0001-012
179,5994125354620948971-242ac118-0001-012
180,3206811909030547946-242ac113-0001-012
181,8816660002002431510-242ac113-0001-012
182,4763725940238914026-242ac113-0001-012
183,2987539053817696746-242ac113-0001-012
184,2286314518151827946-242ac113-0001-012
185,2564027103511187946-242ac113-0001-012
186,2118471110220059116-242ac114-0001-012
187,6048585539934228971-242ac118-0001-012
188,8159088895393197590-242ac113-0001-012
189,5304934769207874026-242ac113-0001-012
190,5067048144274067946-242ac113-0001-012
191,5139879176022594026-242ac113-0001-012
192,2478342505955987946-242ac113-0001-012
193,5632563667614634476-242ac114-0001-012
194,7393319598467322346-242ac113-0001-012
195,3268002755301806571-242ac117-0001-012
196,2132257955240219116-242ac114-0001-012
197,7371391893306797590-242ac113-0001-012
198,8653365558923760106-242ac113-0001-012
199,5793358450108994026-242ac113-0001-012
200,7806612543002111510-242ac113-0001-012
201,2649009731546976746-242ac113-0001-012
202,8345814495701242346-242ac113-0001-012
203,8289452766418431510-242ac113-0001-012
204,5254960858856877590-242ac113-0001-012
205,7963066588003757590-242ac113-0001-012
206,5637416980659114476-242ac114-0001-012
207,5840923247050157590-242ac113-0001-012
208,183197882319507946-242ac113-0001-012
209,2135740860136877590-242ac113-0001-012
210,2130969465051419116-242ac114-0001-012
211,4293911081321107946-242ac113-0001-012
212,2387761645683347946-242ac113-0001-012
213,2138528611787346412-242ac114-0001-012
214,2825056936316441066-242ac113-0001-012
215,2652856022127144470-242ac113-0001-012
216,4209394020318637590-242ac113-0001-012
217,2412508552691117590-242ac113-0001-012
218,7659970745925037590-242ac113-0001-012
219,7945886718819757590-242ac113-0001-012
220,1709242712261267946-242ac113-0001-012
