,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,624,468,15.578125,2.671875,15.558333984527623,56.16044070177135,5.290302414628428,34.00301356102461,1,tcrvalid,2.59,2,3,tcrvalid,
0,157,102,8.28125,2.671875,8.259748378526217,49.007101897486116,4.040009377197781,48.9120151371807,1,tcrvalid,2.59,3,3,tcrvalid,1.0
2,668,509,16.1237403327865,2.6716662760721817,16.1171875,56.095528241762096,5.390625,33.446437227338826,2,tcrvalid,2.59,2,3,tcrvalid,
0,155,109,8.108741504569956,2.6716662760721817,8.109375,47.56008300320694,4.0078125,49.421965317919074,2,tcrvalid,2.59,3,3,tcrvalid,2.0
3,635,478,15.59790674060767,2.686870264781692,15.59131385720981,56.35912963846292,5.444461802843306,34.91983967935872,3,tcrvalid,2.59,2,3,tcrvalid,
0,149,102,8.005936108724518,2.686870264781692,8.006561474769567,47.90635785519431,4.093110451491954,51.1219512195122,3,tcrvalid,2.59,3,3,tcrvalid,3.0
4,613,461,15.54444618028433,2.6636463052648023,15.53784860557769,55.822848443224174,5.390203890321069,34.69079939668175,4,tcrvalid,2.59,2,3,tcrvalid,
0,168,120,8.592407436338073,2.6636463052648023,8.585266776033123,45.94884580771678,4.062182641981095,47.315741583257505,4,tcrvalid,2.59,3,3,tcrvalid,4.0
5,642,486,16.011872217449035,2.6634382566585955,16.005311670051555,55.46965487197625,5.108576784877363,31.91800878477306,5,tcrvalid,2.59,2,3,tcrvalid,
0,179,128,8.77919237678669,2.6634382566585955,8.772066864552414,46.712393451445536,3.8275269489142323,43.63312555654497,5,tcrvalid,2.59,3,3,tcrvalid,5.0
6,654,500,15.880331198250273,2.6558350257772223,15.8671875,55.67911141845303,5.078125,32.00393894633186,6,tcrvalid,2.59,2,3,tcrvalid,
0,167,117,8.27214497734729,2.6558350257772223,8.2578125,47.39005309981006,3.78125,45.789971617786186,6,tcrvalid,2.59,3,3,tcrvalid,6.0
7,646,489,15.737269603248984,2.663230240549828,15.737269603248984,56.347989501840715,5.123398937831928,32.55583126550869,7,tcrvalid,2.59,2,3,tcrvalid,
0,146,95,7.927210246797876,2.663230240549828,7.927210246797876,49.32055628896645,3.8113089659481414,48.07881773399015,7,tcrvalid,2.59,3,3,tcrvalid,7.0
8,599,446,15.322706672917644,2.6879199874980464,15.322706672917644,56.39742599446544,5.196124394436631,33.91126976032636,8,tcrvalid,2.59,2,3,tcrvalid,
0,154,103,8.368495077355837,2.6879199874980464,8.368495077355837,48.26011799145975,3.914674167838725,46.778711484593835,8,tcrvalid,2.59,3,3,tcrvalid,8.0
9,640,481,16.192782377753478,2.6636463052648023,16.192782377753478,55.54353282001205,5.272613654116545,32.56150506512301,9,tcrvalid,2.59,2,3,tcrvalid,
0,175,124,8.928292454304016,2.6636463052648023,8.928292454304016,46.55920574175834,3.9759412591782533,44.53193350831146,9,tcrvalid,2.59,3,3,tcrvalid,9.0
10,689,534,16.497422277769097,2.6558350257772223,16.490899148504024,55.56950541134781,5.210530427310366,31.596399810516342,10,tcrvalid,2.59,2,3,tcrvalid,
0,160,111,8.233088579909388,2.6558350257772223,8.233731739707835,47.4211826776165,3.8903210686665104,47.24857685009488,10,tcrvalid,2.59,3,3,tcrvalid,10.0
