,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,306,250,6.712162288492101,0.08413573899224082,6.694717157550257,58.35849154476605,1.4773258532024311,22.067039106145252,1,tcrvalid,2.02,2,3,gliph_HQ,
0,58,34,2.0753482284752733,0.08413573899224082,2.0663861617578307,64.78790366721401,0.8508648901355774,41.1764705882353,1,tcrvalid,2.02,3,3,gliph_HQ,1.0
2,315,260,6.963918489437278,0.08412787436904094,6.963918489437278,57.20962459057697,1.4488689474668162,20.80536912751678,2,tcrvalid,2.02,2,3,gliph_HQ,
0,70,46,2.3836231071228267,0.08412787436904094,2.3836231071228267,59.58616780045351,0.8506262852869695,35.68627450980392,2,tcrvalid,2.02,3,3,gliph_HQ,2.0
3,294,239,6.514018691588785,0.08411214953271028,6.514018691588785,58.54659324047079,1.5233644859813085,23.38593974175036,3,tcrvalid,2.02,2,3,gliph_HQ,
0,54,31,2.02803738317757,0.08411214953271028,2.02803738317757,65.04997060552617,0.8878504672897196,43.77880184331797,3,tcrvalid,2.02,3,3,gliph_HQ,3.0
4,307,253,6.841760912234788,0.08412001121600149,6.841760912234788,57.28620547024457,1.3926535190204692,20.3551912568306,4,tcrvalid,2.02,2,3,gliph_HQ,
0,66,41,2.3366669782222638,0.08412001121600149,2.3366669782222638,61.164622414622414,0.8318534442471259,35.6,4,tcrvalid,2.02,3,3,gliph_HQ,4.0
5,327,272,7.177570093457944,0.07476635514018691,7.177570093457944,57.10936362312509,1.5233644859813085,21.223958333333332,5,tcrvalid,2.02,2,3,gliph_HQ,
0,66,42,2.2990654205607477,0.07476635514018691,2.2990654205607477,60.98124098124099,0.9252336448598131,40.24390243902439,5,tcrvalid,2.02,3,3,gliph_HQ,5.0
6,322,267,7.010000934666791,0.07477334330311244,7.010000934666791,57.59982253771073,1.5702402093653614,22.4,6,tcrvalid,2.02,2,3,gliph_HQ,
0,62,38,2.1497336199644828,0.07477334330311244,2.1497336199644828,62.857142857142875,0.9533601271146837,44.34782608695652,6,tcrvalid,2.02,3,3,gliph_HQ,6.0
7,324,269,7.130174750023362,0.08410428931875526,7.130174750023362,57.47317754262198,1.4391178394542565,20.18348623853211,7,tcrvalid,2.02,2,3,gliph_HQ,
0,56,32,2.121297075039716,0.08410428931875526,2.121297075039716,63.7733843537415,0.8223530511167181,38.76651982378855,7,tcrvalid,2.02,3,3,gliph_HQ,7.0
8,303,247,6.704067321178121,0.09350163627863488,6.695343183093323,58.29090051862328,1.5242191883299046,22.76536312849162,8,tcrvalid,2.02,2,3,gliph_HQ,
0,58,35,2.122487143525012,0.09350163627863488,2.1226856181036093,64.00246305418719,0.8976996446605573,42.290748898678416,8,tcrvalid,2.02,3,3,gliph_HQ,8.0
9,308,252,6.785680904757454,0.07477334330311244,6.776967657506076,57.896567717996284,1.5703869882220975,23.17241379310345,9,tcrvalid,2.02,2,3,gliph_HQ,
0,65,42,2.243200299093373,0.07477334330311244,2.243409983174425,60.494505494505496,0.9254066180594503,41.25,9,tcrvalid,2.02,3,3,gliph_HQ,9.0
10,322,267,7.178240957098795,0.07477334330311244,7.178240957098795,57.10292812777284,1.5608935414524723,21.744791666666668,10,tcrvalid,2.02,2,3,gliph_HQ,
0,64,41,2.355360314048042,0.07477334330311244,2.355360314048042,59.17410714285714,0.9253201233760164,39.285714285714285,10,tcrvalid,2.02,3,3,gliph_HQ,10.0
