,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,966,923,32.984743213236875,12.355848434925864,32.97514148577979,45.17367271482434,1.0315925209542232,3.1290743155149934,1,tcrvalid,3.73,2,4,gliph_HQ,
0,316,291,23.673089320249264,12.355848434925864,23.66931728633856,32.23977165354529,0.7665305537645963,3.2394792612776264,1,tcrvalid,3.73,3,4,gliph_HQ,1.0
2,988,946,33.94469121650666,12.516119787935235,33.93522499283462,45.38396279747334,0.8455144740613356,2.491554054054054,2,tcrvalid,3.73,2,4,gliph_HQ,
0,316,290,24.31580455652672,12.516119787935235,24.304958440813987,33.03593431615081,0.6162224132989396,2.535377358490566,2,tcrvalid,3.73,3,4,gliph_HQ,2.0
3,976,929,32.60511424683045,12.749803022706109,32.59062902994698,45.95678063680632,0.9027081243731193,2.770448548812665,3,tcrvalid,3.73,2,4,gliph_HQ,
0,286,260,22.720435498889763,12.749803022706109,22.71815446339017,32.35600664868171,0.6018054162487463,2.6498422712933754,3,tcrvalid,3.73,3,4,gliph_HQ,3.0
4,976,932,33.92307141322255,12.248406274622162,33.92307141322255,44.87165517151088,0.7377695007520951,2.174831081081081,4,tcrvalid,3.73,2,4,gliph_HQ,
0,326,294,24.61141752023494,12.248406274622162,24.61141752023494,32.80593695519823,0.56586204426617,2.29918509895227,4,tcrvalid,3.73,3,4,gliph_HQ,4.0
5,980,933,33.4025639189286,13.915347704647997,33.39779401231915,46.07868869415965,0.7019051711789142,2.1021021021021022,5,tcrvalid,3.73,2,4,gliph_HQ,
0,273,241,23.275800329442095,13.915347704647997,23.277467411545622,32.809944762917425,0.4655493482309125,2.0006155740227762,5,tcrvalid,3.73,3,4,gliph_HQ,5.0
6,922,874,33.23544158727885,14.031946135663635,33.225875779067266,45.855375486240426,0.6017623038899634,1.8111254851228977,6,tcrvalid,3.73,2,4,gliph_HQ,
0,276,247,23.98109017978655,14.031946135663635,23.984526112185687,32.712522457658224,0.3438641736514077,1.4336917562724014,6,tcrvalid,3.73,3,4,gliph_HQ,6.0
7,909,865,32.50250680418278,13.429308122045553,32.50250680418278,46.472073443949775,0.7735281478298238,2.379903040987219,7,tcrvalid,3.73,2,4,gliph_HQ,
0,251,223,23.076923076923077,13.429308122045553,23.076923076923077,33.837110599802166,0.5300100272167311,2.2967101179391682,7,tcrvalid,3.73,3,4,gliph_HQ,7.0
8,959,913,33.9922647185217,14.560951153129924,33.98280802292263,46.155170606748406,0.7163323782234957,2.1083702298123552,8,tcrvalid,3.73,2,4,gliph_HQ,
0,275,246,24.194241512677266,14.560951153129924,24.197707736389685,32.95566767953352,0.44412607449856734,1.8359490672194256,8,tcrvalid,3.73,3,4,gliph_HQ,8.0
9,977,932,33.9350956372233,14.033956587148076,33.9350956372233,45.62042308591618,0.9241349666881582,2.7232425585813806,9,tcrvalid,3.73,2,4,gliph_HQ,
0,305,278,24.306898774983882,14.033956587148076,24.306898774983882,33.02017493422986,0.6662368364496024,2.7409372236958442,9,tcrvalid,3.73,3,4,gliph_HQ,9.0
10,980,935,33.59363805702823,14.529302192291158,33.59363805702823,46.307136652345484,0.9886803266943688,2.943058221369162,10,tcrvalid,3.73,2,4,gliph_HQ,
0,289,263,23.692506089697666,14.529302192291158,23.692506089697666,34.01727999757293,0.7021063189568706,2.9634109464771696,10,tcrvalid,3.73,3,4,gliph_HQ,10.0
