,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,86,33,5.2972195589645255,0.14381591562799617,5.2745145049148885,83.33333333333334,3.7401102853032846,70.9090909090909,1,tcrvalid,1.74,2,1,gliph_HQ,
0,31,11,2.6605944391179293,0.14381591562799617,2.6372572524574442,87.63440860215054,2.1098058019659556,80.0,1,tcrvalid,1.74,3,1,gliph_HQ,1.0
2,92,40,5.535585909417685,0.14378145219266714,5.535585909417685,81.52173913043478,3.786244907740235,68.3982683982684,2,tcrvalid,1.74,2,1,gliph_HQ,
0,29,11,2.516175413371675,0.14378145219266714,2.516175413371675,87.93103448275863,2.0608674814282293,81.9047619047619,2,tcrvalid,1.74,3,1,gliph_HQ,2.0
3,82,29,4.984423676012461,0.14378145219266714,4.961649089165868,86.1788617886179,3.7871524448705656,76.32850241545894,3,tcrvalid,1.74,2,1,gliph_HQ,
0,25,7,2.2525760843517855,0.14378145219266714,2.2291466922339405,96.66666666666669,2.0613614573346117,92.47311827956989,3,tcrvalid,1.74,3,1,gliph_HQ,3.0
4,88,35,5.3211888782358585,0.14381591562799617,5.3211888782358585,82.95454545454545,3.7392138063279003,70.27027027027027,4,tcrvalid,1.74,2,1,gliph_HQ,
0,26,7,2.348993288590604,0.14381591562799617,2.348993288590604,94.23076923076923,2.0613614573346117,87.75510204081633,4,tcrvalid,1.74,3,1,gliph_HQ,4.0
5,87,34,5.273250239693192,0.14381591562799617,5.273250239693192,83.52490421455938,3.7871524448705656,71.81818181818181,5,tcrvalid,1.74,2,1,gliph_HQ,
0,28,10,2.444870565675935,0.14381591562799617,2.444870565675935,89.8809523809524,2.0613614573346117,84.31372549019608,5,tcrvalid,1.74,3,1,gliph_HQ,5.0
6,84,31,5.154639175257732,0.14385039558858786,5.154639175257732,84.12698412698413,3.692160153440422,71.62790697674419,6,tcrvalid,1.74,2,1,gliph_HQ,
0,29,10,2.5173819228002876,0.14385039558858786,2.5173819228002876,90.22988505747128,2.0618556701030926,81.9047619047619,6,tcrvalid,1.74,3,1,gliph_HQ,6.0
7,80,27,4.962838647806281,0.16782546152001918,4.940047961630696,86.38392857142858,3.5731414868105515,72.33009708737865,7,tcrvalid,1.74,2,1,gliph_HQ,
0,27,8,2.4214816590745625,0.16782546152001918,2.3980815347721824,92.98941798941799,1.894484412470024,79.0,7,tcrvalid,1.74,3,1,gliph_HQ,7.0
8,93,40,5.682090625749221,0.14385039558858786,5.682090625749221,80.0179211469534,3.620234955646128,63.71308016877637,8,tcrvalid,1.74,2,1,gliph_HQ,
0,32,13,2.757132582114601,0.14385039558858786,2.757132582114601,84.11458333333334,1.989930472308799,72.17391304347827,8,tcrvalid,1.74,3,1,gliph_HQ,8.0
9,90,37,5.393096836049856,0.14381591562799617,5.393096836049856,82.5925925925926,3.7871524448705656,70.22222222222223,9,tcrvalid,1.74,2,1,gliph_HQ,
0,27,9,2.3729626078619366,0.14381591562799617,2.3729626078619366,91.97530864197532,2.0613614573346117,86.86868686868686,9,tcrvalid,1.74,3,1,gliph_HQ,9.0
10,91,38,5.583513060148574,0.14378145219266714,5.583513060148574,81.37362637362638,3.7143541816439014,66.52360515021459,10,tcrvalid,1.74,2,1,gliph_HQ,
0,30,12,2.659956865564342,0.14378145219266714,2.659956865564342,85.16666666666669,1.9889767553318956,74.77477477477477,10,tcrvalid,1.74,3,1,gliph_HQ,10.0
